expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,62.38,92.02,93.49,93.22,90.15,108.49,135.71,128.41,117.46,102.32,106.36,110.16
3Mo,48.33,82.61,92.71,100.97,109.65,110.08,112.57,112.93,113.49,114.25,114.71,115.42
6Mo,50.89,97.56,100.94,103.12,105.16,105.24,106.85,106.41,105.76,104.97,105.18,105.76
9Mo,69.56,94.42,96.68,98.47,100.22,101.07,103.66,102.93,101.88,100.39,100.91,101.72
1Yr,83.37,91.11,93.46,94.88,94.88,96.26,99.49,98.58,97.26,95.23,95.94,96.92
2Yr,92.81,93.45,94.25,95.43,96.42,95.54,95.04,94.23,93.05,91.70,91.98,92.65
3Yr,96.49,99.20,98.72,97.64,96.87,95.74,94.83,94.09,93.03,92.04,91.87,92.07
4Yr,97.40,98.94,98.56,98.00,97.48,96.33,95.20,94.38,93.20,92.36,91.91,91.87
5Yr,97.57,98.48,98.06,97.73,97.39,96.14,95.00,94.17,92.97,92.31,91.91,91.40
6Yr,97.17,98.56,97.80,97.26,96.88,96.01,95.25,94.39,93.17,92.51,91.71,91.38
7Yr,96.65,98.46,97.59,96.87,96.27,95.74,95.44,94.58,93.35,92.51,91.85,91.39
8Yr,95.81,97.71,97.31,96.91,96.48,95.45,94.42,93.48,92.14,91.52,90.73,90.49
9Yr,95.08,97.03,96.96,96.84,96.74,95.27,93.93,93.48,92.39,90.95,90.29,89.67
10Yr,94.35,96.35,95.55,96.76,97.00,94.89,93.39,92.36,90.95,90.29,89.70,89.67
12Yr,93.81,95.10,95.02,94.92,94.96,93.27,91.18,90.01,88.33,87.31,86.90,86.77
15Yr,92.90,93.16,92.39,92.01,91.89,89.84,87.42,86.06,84.82,83.04,81.97,82.31
20Yr,89.62,90.65,89.69,88.79,87.88,85.84,82.95,81.82,80.14,79.01,78.74,78.92
25Yr,87.81,89.44,88.31,86.61,85.27,83.58,82.95,81.82,80.14,79.01,78.74,78.92
30Yr,83.81,87.21,85.61,84.53,83.36,81.75,79.88,77.86,76.38,75.49,75.71,76.74
