expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,99.61,107.47,106.89,103.78,99.95,100.28,101.09,97.90,93.20,86.27,86.98,87.50
3Mo,120.40,112.11,110.39,106.56,102.86,98.75,94.28,93.43,92.19,89.85,89.22,88.82
6Mo,99.52,101.90,99.87,96.58,93.09,88.17,82.11,81.77,81.29,80.51,80.40,80.64
9Mo,99.74,98.92,96.12,92.79,89.35,85.78,81.62,81.10,80.35,79.08,79.13,79.47
1Yr,99.53,95.40,91.76,88.51,85.21,82.84,80.44,79.82,78.91,77.33,77.46,77.85
2Yr,86.13,84.09,82.58,81.45,80.11,79.04,78.25,77.62,76.71,75.59,75.19,75.17
3Yr,81.30,82.22,80.91,80.05,78.98,77.87,76.97,76.33,75.43,74.49,73.94,73.78
4Yr,80.69,81.35,80.69,79.86,79.07,77.99,76.99,76.22,75.12,74.23,73.57,73.33
5Yr,79.35,80.32,79.65,79.07,78.49,77.38,76.46,75.63,74.43,73.61,72.91,72.61
6Yr,79.67,80.31,79.50,78.92,78.50,77.31,76.05,75.11,73.78,72.76,72.04,71.79
7Yr,79.86,80.12,79.41,78.85,78.42,77.09,75.58,74.56,73.09,72.00,71.25,70.99
8Yr,79.71,79.89,79.20,78.52,77.81,76.36,74.71,73.66,72.14,71.07,70.29,70.06
9Yr,79.64,79.71,78.92,78.08,77.26,75.76,73.84,72.76,71.21,70.22,69.45,69.23
10Yr,79.59,79.53,78.58,77.62,76.70,74.96,72.97,71.89,70.31,69.25,68.60,68.42
12Yr,79.20,79.10,77.96,76.81,75.79,74.12,72.07,70.97,69.52,68.56,67.66,67.56
15Yr,78.53,78.10,76.71,75.49,74.37,72.43,69.83,68.87,67.16,66.28,65.87,66.47
20Yr,76.25,76.47,74.81,73.21,71.43,70.69,67.94,66.92,65.46,64.94,64.75,64.93
25Yr,74.15,75.58,73.82,71.47,71.60,68.12,66.11,65.25,64.03,63.49,63.06,63.09
30Yr,70.85,73.67,71.50,69.84,68.09,66.35,63.27,62.64,61.73,61.47,60.85,61.04
