expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,34.90,56.06,60.31,61.75,62.34,63.24,65.88,64.57,62.71,61.11,61.48,61.66
3Mo,37.39,60.16,64.67,67.01,69.58,67.95,67.41,67.16,66.81,66.13,65.85,65.79
6Mo,61.56,70.14,72.48,73.48,74.25,73.07,72.66,72.22,71.59,70.76,70.29,70.17
9Mo,67.15,73.68,74.83,75.42,75.86,74.71,74.24,73.80,73.16,72.29,71.92,71.83
1Yr,72.04,76.68,76.51,76.71,76.85,75.62,74.98,74.61,74.07,73.22,72.90,72.84
2Yr,80.05,80.51,80.05,79.98,79.72,78.60,77.75,77.13,76.23,75.50,74.86,74.80
3Yr,82.53,82.65,81.86,81.50,80.93,79.95,79.25,78.54,77.50,76.50,76.03,75.93
4Yr,83.58,83.45,83.16,82.69,82.27,81.20,80.20,79.31,78.02,76.94,76.38,76.24
5Yr,83.84,83.99,83.57,83.23,82.90,81.67,80.57,79.57,78.13,76.94,76.44,76.27
6Yr,83.92,84.26,83.57,83.21,82.95,81.78,80.56,79.52,78.02,76.84,76.23,76.09
7Yr,83.88,84.35,83.72,83.25,82.90,81.75,80.50,79.43,77.88,76.76,76.10,75.93
8Yr,83.66,84.07,83.41,82.94,82.53,81.33,80.11,79.00,77.39,76.28,75.59,75.45
9Yr,83.54,83.84,83.32,82.94,82.49,81.24,79.70,78.55,76.91,75.85,75.17,75.06
10Yr,83.43,83.62,83.17,82.72,82.30,80.85,79.27,78.11,76.43,75.29,74.73,74.56
12Yr,83.04,82.93,82.29,81.64,81.13,79.83,78.31,77.08,75.31,74.29,73.74,73.35
15Yr,82.36,81.82,80.66,79.88,79.36,78.31,76.87,75.55,73.64,72.34,71.72,71.57
20Yr,80.07,79.61,78.50,77.37,76.50,75.42,74.01,72.86,71.06,69.99,69.53,69.43
25Yr,77.55,78.64,77.37,75.53,74.04,73.02,71.54,70.48,68.96,68.03,67.69,67.79
30Yr,73.84,76.63,74.91,73.71,72.40,70.82,67.98,67.17,65.98,65.52,65.33,65.95
