expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,38.82,63.63,66.48,66.95,66.76,77.60,93.80,89.55,83.22,75.07,77.34,79.41
3Mo,28.01,58.70,67.49,74.23,81.04,81.06,82.74,82.92,82.19,83.56,83.74,84.13
6Mo,42.83,74.92,78.52,80.87,82.97,83.07,84.48,84.05,83.43,82.65,82.48,82.65
9Mo,58.40,76.16,78.65,80.56,82.32,82.54,84.07,83.53,82.75,81.69,81.67,81.93
1Yr,69.35,77.55,78.66,80.10,81.45,81.55,82.89,82.34,81.53,80.32,80.38,80.70
2Yr,82.93,83.95,84.16,84.76,85.15,84.14,83.43,82.74,81.75,80.70,80.54,80.76
3Yr,87.19,88.14,87.36,87.01,86.45,85.46,84.72,83.99,82.93,81.94,81.59,81.61
4Yr,88.47,88.81,88.55,88.12,87.73,86.64,85.59,84.72,83.45,82.44,81.94,81.85
5Yr,88.96,89.25,88.87,88.58,88.28,87.03,85.90,84.94,83.56,82.57,81.89,81.81
6Yr,88.84,89.50,88.84,88.41,88.14,87.09,86.05,85.06,83.65,82.64,81.98,81.79
7Yr,88.59,89.56,88.87,88.33,87.90,87.00,86.14,85.14,83.70,82.80,82.05,81.79
8Yr,88.16,89.11,88.72,88.31,87.89,86.77,85.60,84.55,83.03,82.09,81.38,81.22
9Yr,87.81,88.73,88.48,88.19,87.92,86.64,85.04,83.94,82.35,81.44,80.81,80.74
10Yr,87.49,88.34,88.05,87.62,87.26,85.76,84.47,83.33,81.70,80.66,80.22,80.16
12Yr,86.30,85.97,87.06,86.67,86.43,85.06,83.43,82.21,80.49,79.30,78.73,78.70
15Yr,86.30,85.97,85.02,84.46,84.16,83.19,81.87,80.53,78.59,77.24,76.66,76.54
20Yr,84.01,83.60,82.64,81.73,80.81,80.08,78.42,77.63,75.79,74.65,74.05,73.81
25Yr,81.33,83.53,81.40,79.70,78.35,77.41,76.06,74.94,73.32,72.27,71.96,72.10
30Yr,77.45,80.43,78.84,77.76,76.57,75.02,72.21,71.30,69.98,69.34,69.35,70.18
