expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,76.90,86.35,87.27,85.74,83.50,82.05,79.75,78.04,75.56,72.19,72.28,72.17
3Mo,93.14,91.83,91.34,88.77,86.30,82.76,79.10,78.35,77.26,75.22,74.59,74.18
6Mo,85.44,87.20,86.48,84.55,82.42,78.71,74.49,74.10,73.55,72.73,72.39,72.39
9Mo,86.73,87.02,85.51,83.51,81.41,78.55,75.48,75.01,74.35,73.31,73.07,73.11
1Yr,87.62,86.40,83.99,82.00,79.99,77.82,75.71,75.24,74.58,73.45,73.26,73.33
2Yr,82.39,81.44,80.28,79.51,78.54,77.42,76.55,75.94,75.06,74.06,73.56,73.43
3Yr,80.79,81.07,80.43,79.68,78.60,77.56,76.77,76.10,75.13,74.15,73.61,73.44
4Yr,81.00,81.10,80.63,79.98,79.38,78.31,77.31,76.47,75.27,74.25,73.62,73.42
5Yr,80.46,80.95,80.30,79.94,79.48,78.30,77.29,76.36,75.01,73.98,73.62,73.12
6Yr,80.71,81.10,80.38,79.89,79.57,78.35,77.06,76.10,74.59,73.43,72.78,72.60
7Yr,80.83,81.06,80.42,79.92,79.55,78.24,76.75,75.69,74.14,73.02,72.29,72.11
8Yr,80.70,80.85,80.27,79.69,79.09,77.73,76.21,75.10,73.50,72.25,71.63,71.46
9Yr,80.67,80.69,80.05,79.35,78.68,77.33,75.64,74.50,72.87,71.80,71.13,70.89
10Yr,80.65,80.54,79.77,79.00,78.27,76.74,75.07,73.92,72.17,71.13,70.50,70.24
12Yr,80.27,80.03,79.08,78.12,77.31,75.86,74.15,72.96,71.25,70.13,69.44,69.31
15Yr,79.62,79.19,77.75,76.67,75.87,74.57,72.77,71.52,69.71,68.56,68.02,67.95
20Yr,77.33,77.16,75.76,74.35,73.41,71.93,70.10,68.93,67.28,66.48,65.93,65.90
25Yr,75.04,76.25,73.82,72.21,70.87,69.66,67.91,66.96,65.59,64.87,64.48,64.54
30Yr,71.57,74.32,72.36,70.91,69.37,67.71,64.74,63.68,63.02,62.70,62.26,62.63
