term,bid,ask
1 WK,3.96163,3.98177
2 WK,3.98032,3.99648
1 MO,3.98265,3.98923
2 MO,3.94520,3.95128
3 MO,3.91996,3.92504
4 MO,3.87521,3.88019
5 MO,3.84887,3.85413
6 MO,3.80980,3.81520
7 MO,3.74650,3.75140
8 MO,3.71134,3.71596
9 MO,3.67463,3.68377
10 MO,3.64043,3.64537
11 MO,3.60895,3.61425
12 MO,3.57801,3.58319
18 MO,3.41647,3.42125
2 YR,3.34919,3.35419
3 YR,3.31030,3.31370
4 YR,3.32746,3.33184
5 YR,3.36474,3.37046
6 YR,3.42626,3.42914
7 YR,3.48826,3.49146
8 YR,3.55035,3.55325
9 YR,3.61030,3.61365
10 YR,3.66955,3.67355
12 YR,3.77811,3.78059
15 YR,3.90383,3.90657
20 YR,4.02863,4.03260
25 YR,3.98910,3.99240
30 YR,3.87962,3.89138
