expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,29.21,54.02,58.23,59.80,60.57,65.27,73.45,71.08,67.63,63.87,64.93,65.81
3Mo,19.10,54.37,61.44,66.08,70.75,69.58,67.95,70.49,70.44,70.39,70.22,70.26
6Mo,53.24,69.11,72.24,74.03,75.53,75.02,75.53,75.09,74.47,73.65,73.27,73.22
9Mo,62.04,72.52,74.41,75.69,76.79,76.22,76.58,76.12,75.44,74.54,74.26,74.26
1Yr,69.17,75.62,76.07,76.87,77.57,76.79,76.84,76.43,75.83,74.92,74.69,74.71
2Yr,80.43,81.19,80.97,81.14,81.11,80.03,79.21,78.58,77.65,76.70,76.34,76.35
3Yr,82.79,84.10,83.33,83.01,82.46,81.49,80.79,80.07,79.02,78.02,77.59,77.52
4Yr,84.98,84.94,84.68,84.24,83.85,82.77,81.76,80.87,79.58,78.51,77.97,77.85
5Yr,85.38,85.53,85.14,84.82,84.51,83.27,82.15,81.16,79.73,78.62,78.06,77.85
6Yr,85.40,85.81,85.14,84.76,84.51,83.38,82.21,81.18,79.70,78.55,77.93,77.78
7Yr,85.28,85.90,85.26,84.78,84.41,83.33,82.20,81.15,79.63,78.57,77.93,77.78
8Yr,85.01,85.57,85.14,84.71,84.25,83.06,81.79,80.70,79.11,78.04,77.36,77.22
9Yr,84.82,85.30,84.94,84.54,84.15,82.90,81.36,80.22,78.59,77.57,76.91,76.81
10Yr,84.66,85.03,84.69,84.34,84.04,82.54,81.30,80.22,78.08,76.97,75.91,76.81
12Yr,84.25,84.27,83.73,83.17,82.76,81.45,79.93,78.75,77.08,76.06,75.31,75.01
15Yr,83.04,82.93,81.97,81.27,80.84,79.84,78.45,77.12,75.20,73.87,73.25,73.10
20Yr,81.26,80.78,79.74,78.75,77.75,76.49,74.57,73.42,71.52,70.20,69.71,69.43
25Yr,78.69,79.78,78.58,76.79,75.37,74.39,72.97,71.88,70.32,69.34,69.01,69.13
30Yr,74.91,77.75,76.08,74.93,73.68,72.12,69.30,68.45,67.21,66.69,66.58,67.28
