expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,64.16,75.27,77.18,76.60,75.31,73.35,70.13,69.41,67.72,66.06,65.94,65.60
3Mo,77.65,81.05,81.56,80.01,78.62,75.51,72.55,71.90,70.95,69.21,68.61,68.24
6Mo,81.86,80.21,80.38,79.33,78.38,75.17,72.16,71.75,71.17,70.33,69.88,69.79
9Mo,80.03,81.53,80.84,79.65,78.37,76.01,73.71,73.27,72.63,71.69,71.34,71.27
1Yr,81.82,82.38,80.70,79.44,78.15,76.20,74.43,74.03,73.45,72.49,72.19,72.15
2Yr,81.08,80.67,79.72,79.17,78.42,77.29,76.41,75.80,74.92,73.96,73.46,73.33
3Yr,81.02,81.13,80.18,79.69,78.98,77.97,77.22,76.53,75.54,74.55,74.02,73.86
4Yr,81.57,81.51,81.11,80.55,80.02,78.95,77.95,77.09,75.84,74.79,74.18,74.00
5Yr,81.37,81.51,81.19,80.77,80.37,79.17,78.12,77.15,75.75,74.66,74.06,73.86
6Yr,81.57,81.89,81.21,80.76,80.46,79.25,77.97,76.94,75.45,74.25,73.62,73.47
7Yr,81.64,81.91,81.29,80.81,80.46,79.19,77.76,76.67,75.11,73.93,73.27,73.11
8Yr,81.50,81.69,81.16,80.63,80.07,78.76,77.30,76.18,74.56,73.40,72.70,72.55
9Yr,81.45,81.53,80.93,80.34,79.74,78.44,76.85,75.67,74.02,72.93,72.23,72.06
10Yr,81.42,81.36,80.69,80.03,79.40,77.93,76.34,75.18,73.50,72.35,71.74,71.51
12Yr,81.04,80.80,79.88,79.03,78.30,76.89,75.14,74.05,72.31,71.16,70.62,70.48
15Yr,80.39,79.88,78.53,77.57,76.87,75.67,74.01,72.73,70.89,69.68,69.09,68.98
20Yr,78.09,77.79,76.50,75.27,74.03,72.97,71.31,70.12,68.41,67.50,67.14,67.15
25Yr,75.73,76.86,75.43,73.43,71.78,70.65,69.01,68.01,66.58,65.79,65.41,65.49
30Yr,72.16,74.91,73.04,71.69,70.24,68.61,65.69,64.95,63.88,63.51,63.16,63.62
