expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,138.53,145.07,142.29,136.73,130.35,134.55,141.53,135.81,127.26,114.19,116.10,117.78
3Mo,166.73,148.01,144.90,139.65,134.73,129.88,124.47,123.54,122.18,119.49,118.91,118.57
6Mo,124.28,130.03,126.27,121.18,115.88,109.34,100.95,100.67,100.29,99.55,99.84,100.49
9Mo,123.42,114.48,117.88,112.72,107.43,103.04,97.75,97.10,96.16,94.46,95.06,95.93
1Yr,122.26,114.02,108.53,103.42,98.24,95.93,93.71,92.76,91.36,88.86,89.67,90.72
2Yr,95.88,91.63,89.87,88.42,86.67,85.77,85.22,84.53,83.52,82.08,82.01,82.31
3Yr,85.16,87.93,86.10,84.71,83.10,81.82,80.66,80.12,79.35,78.50,78.03,77.93
4Yr,82.79,85.07,84.01,82.72,81.58,80.49,79.46,78.88,78.07,77.50,76.79,76.48
5Yr,79.63,81.93,81.00,80.16,79.32,78.37,77.68,77.13,76.37,76.13,75.25,74.75
6Yr,80.00,81.53,80.49,79.67,79.01,77.97,76.94,76.25,75.29,74.74,73.80,73.32
7Yr,80.25,80.95,80.02,79.25,78.60,77.42,76.14,75.33,74.17,73.45,72.43,71.90
8Yr,79.87,80.55,79.64,78.72,77.79,76.22,74.37,73.52,72.29,71.57,70.63,70.23
9Yr,79.58,80.21,79.18,78.10,77.04,75.13,72.58,71.69,70.42,69.76,68.92,68.64
10Yr,79.31,79.87,78.66,77.46,76.29,73.85,71.69,70.42,69.06,68.07,67.20,66.95
12Yr,78.85,79.47,78.03,76.57,75.25,72.90,69.80,68.87,67.54,66.82,67.20,66.95
15Yr,78.06,78.80,77.06,75.75,74.49,72.88,68.33,67.63,66.01,65.45,65.39,65.80
20Yr,75.82,77.10,74.88,72.70,70.51,68.45,65.27,64.59,63.63,63.83,63.85,64.23
25Yr,74.06,76.17,73.89,71.04,68.54,66.75,64.13,63.50,62.63,62.46,61.97,61.92
30Yr,71.10,74.19,71.57,69.47,67.26,65.33,61.97,61.47,60.76,60.53,59.57,59.41
