expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,64.49,91.12,93.96,95.73,97.09,95.11,93.95,93.24,92.40,90.94,90.87,90.91
3Mo,75.75,92.11,95.65,97.94,100.65,99.20,98.55,97.74,96.52,94.44,93.65,93.31
6Mo,91.56,100.80,100.82,101.15,101.30,99.58,98.50,97.63,96.33,94.19,93.53,93.39
9Mo,98.89,102.36,102.74,102.39,101.84,99.90,98.41,97.47,96.05,93.73,93.01,93.00
1Yr,104.97,105.58,104.30,103.26,102.38,100.25,98.64,97.64,96.14,93.79,93.02,92.97
2Yr,107.89,105.81,104.17,103.23,102.00,100.07,98.25,97.09,95.34,93.03,92.20,92.12
3Yr,106.10,104.25,102.93,101.97,101.18,99.59,97.71,96.47,94.61,92.46,91.58,91.46
4Yr,103.86,102.32,101.59,101.01,100.26,98.94,97.34,96.04,94.10,92.13,91.24,91.07
5Yr,102.14,101.02,100.31,99.65,99.04,97.83,96.55,95.23,93.26,91.46,90.55,90.30
6Yr,100.72,99.61,98.89,98.30,97.83,96.65,95.43,94.05,92.00,90.29,89.42,89.20
7Yr,99.51,98.37,97.90,97.20,96.79,95.55,94.24,92.84,90.75,89.27,88.35,88.09
8Yr,98.04,97.07,96.42,95.97,95.48,94.23,92.80,91.43,89.38,87.86,86.93,86.74
9Yr,95.87,95.92,95.26,94.75,94.23,92.98,91.43,89.95,87.85,86.51,85.63,85.44
10Yr,95.68,94.73,94.14,93.53,93.05,91.68,89.89,88.52,86.47,85.15,84.38,84.15
12Yr,92.68,92.12,91.32,90.59,89.76,88.43,86.74,85.37,83.31,82.13,81.42,81.09
15Yr,88.49,87.87,87.09,86.40,85.58,84.21,82.62,81.29,79.02,77.96,77.38,77.36
20Yr,82.28,81.59,80.64,79.76,78.81,77.59,76.09,75.05,73.48,72.56,72.26,72.25
25Yr,79.72,79.22,78.05,77.06,76.01,74.99,72.95,72.05,70.22,70.01,70.12,70.12
30Yr,76.36,77.35,76.36,75.78,74.99,72.95,69.65,69.00,68.01,67.70,67.67,68.07
