expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,123.53,129.18,127.87,125.52,122.75,117.08,110.20,109.35,108.30,106.23,105.55,104.98
3Mo,129.34,128.44,126.00,122.25,118.82,115.58,112.04,110.35,105.90,99.78,97.61,95.92
6Mo,128.07,123.49,120.36,117.52,114.47,109.93,104.52,103.35,101.60,98.49,96.51,95.08
9Mo,125.92,119.67,117.12,113.81,110.29,105.95,100.83,99.72,98.08,95.18,93.60,92.73
1Yr,122.99,117.53,113.60,109.91,106.36,102.30,97.80,96.78,95.25,92.63,91.43,90.93
2Yr,107.71,104.63,102.42,100.91,99.31,96.46,93.62,92.77,91.51,89.86,88.66,88.21
3Yr,101.42,100.74,98.89,97.40,96.09,94.60,92.88,91.86,90.34,88.60,87.20,86.57
4Yr,98.74,97.96,96.81,95.81,94.64,93.46,92.06,90.93,89.24,87.55,86.32,85.81
5Yr,96.59,95.85,94.82,93.85,92.93,91.88,90.84,89.63,87.83,86.17,85.10,84.68
6Yr,94.62,94.27,93.34,92.54,91.85,90.70,89.53,88.24,86.34,84.75,83.78,83.46
7Yr,92.86,92.87,92.29,91.48,90.96,89.61,88.14,86.82,84.86,83.47,82.52,82.24
8Yr,91.58,91.58,90.80,90.11,89.38,87.98,86.35,85.04,83.09,81.61,80.64,80.42
9Yr,90.61,90.67,89.64,88.75,87.85,86.44,84.56,83.21,81.18,79.83,78.90,78.66
10Yr,89.60,89.60,88.51,87.39,86.40,84.85,82.79,81.44,79.43,78.12,77.22,76.92
12Yr,87.17,87.18,85.88,84.67,83.61,82.10,80.05,78.77,76.85,75.60,74.83,74.63
15Yr,83.44,83.44,81.96,80.37,79.61,77.44,74.97,73.65,72.06,71.84,71.16,71.01
20Yr,77.97,77.99,76.74,74.97,73.44,71.91,69.97,69.04,67.66,66.96,66.72,66.78
25Yr,75.67,75.93,74.18,72.64,71.04,69.54,67.99,65.72,64.40,64.36,64.63,64.63
30Yr,73.67,74.36,72.85,71.75,70.44,68.16,64.50,63.50,62.70,61.66,61.91,62.57
