expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,162.93,163.93,161.28,157.58,153.47,146.92,138.96,138.44,137.87,136.49,135.96,135.54
3Mo,165.87,158.63,154.35,148.84,143.81,141.62,139.87,135.86,129.82,119.58,115.86,112.59
6Mo,156.75,146.98,142.68,138.71,134.58,129.23,122.72,121.22,118.97,114.87,112.01,109.69
9Mo,149.92,139.21,135.36,130.78,126.02,120.67,114.10,112.81,110.87,107.34,105.49,104.34
1Yr,141.91,132.68,127.35,122.27,117.35,112.07,105.72,104.67,103.09,100.20,99.38,99.27
2Yr,112.99,108.83,106.54,104.95,103.28,99.35,94.85,94.41,93.74,92.92,91.85,91.52
3Yr,101.46,103.63,101.23,99.20,97.33,95.80,94.02,93.16,91.86,90.32,88.51,87.48
4Yr,98.20,99.40,97.81,96.36,94.75,93.70,92.51,91.51,90.02,88.48,86.93,86.10
5Yr,95.43,95.78,94.43,93.12,91.87,91.14,90.57,89.48,87.85,86.30,84.99,84.33
6Yr,93.13,93.95,92.73,91.65,90.69,89.86,89.16,87.97,86.20,84.67,83.49,82.95
7Yr,91.03,92.28,91.47,90.43,89.68,88.66,87.67,86.42,84.57,83.18,82.05,81.57
8Yr,89.66,91.04,89.90,88.96,87.99,86.65,85.10,83.85,81.97,80.44,79.37,79.04
9Yr,88.59,89.95,88.66,87.51,86.35,84.73,82.54,81.21,79.22,77.76,76.82,76.56
10Yr,87.49,88.82,87.45,86.05,84.79,82.75,79.97,78.63,76.52,75.14,74.31,74.09
12Yr,85.33,86.50,84.88,83.33,81.83,79.98,77.23,75.95,74.04,72.64,71.95,71.82
15Yr,81.99,82.91,81.03,79.48,77.80,75.76,72.96,71.83,70.14,68.93,68.32,68.23
20Yr,76.50,78.20,76.05,73.98,71.83,69.62,67.83,67.01,65.79,65.20,65.00,65.11
25Yr,75.00,76.20,73.90,71.79,69.62,67.90,65.36,64.52,63.26,62.35,62.15,62.25
30Yr,72.68,74.68,72.65,71.01,69.18,66.69,62.72,61.86,60.58,59.32,59.19,59.49
