expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,81.58,124.50,129.90,134.32,138.36,140.34,145.10,145.62,146.61,148.24,149.52,150.91
3Mo,82.45,107.67,117.50,126.26,135.55,141.03,150.52,147.63,143.30,136.10,133.40,131.19
6Mo,98.12,107.93,123.08,126.58,129.91,131.28,134.82,133.51,131.56,128.45,127.74,127.58
9Mo,108.39,119.15,122.13,124.39,126.48,126.53,128.05,126.84,125.04,122.16,122.32,123.19
1Yr,117.15,119.84,120.63,121.68,122.91,121.67,121.42,120.32,118.68,116.17,117.12,118.79
2Yr,123.30,120.92,120.37,120.53,120.59,117.63,114.60,113.46,111.74,109.63,109.86,110.84
3Yr,120.57,117.79,120.47,119.51,118.72,116.75,114.29,112.77,110.50,107.78,107.25,107.50
4Yr,118.11,118.66,117.96,117.42,116.71,115.28,113.53,112.05,109.82,107.48,106.74,106.72
5Yr,116.15,116.18,115.54,114.95,114.41,113.37,112.35,110.94,108.82,106.86,105.88,105.56
6Yr,115.36,114.59,113.80,113.15,112.62,111.93,111.43,109.94,107.74,105.84,104.79,104.40
7Yr,114.78,113.16,112.50,111.61,111.01,110.56,110.43,108.91,106.67,104.95,103.77,103.24
8Yr,112.63,111.39,110.82,110.47,110.08,109.20,108.34,106.87,104.67,102.94,101.92,101.64
9Yr,110.80,109.77,109.48,109.34,109.19,107.93,106.26,104.77,102.53,100.99,100.20,100.10
10Yr,108.94,108.11,108.17,108.21,108.38,106.59,104.18,102.72,100.54,99.11,98.54,98.64
12Yr,105.53,105.19,104.90,104.69,104.64,103.25,101.39,99.85,97.55,95.82,95.88,95.71
15Yr,100.30,100.30,100.00,99.63,99.13,98.19,97.05,95.44,93.03,90.93,90.80,91.20
20Yr,93.79,92.97,92.27,91.64,90.94,90.01,88.94,87.78,86.03,84.81,84.45,84.39
25Yr,90.53,90.09,89.12,88.36,87.53,86.50,84.89,84.17,82.95,82.45,81.63,81.11
30Yr,86.47,87.71,86.91,86.51,85.91,83.99,80.86,80.40,79.71,79.92,78.71,77.92
