expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,101.19,111.31,111.12,109.91,108.29,103.47,97.84,96.85,95.58,93.22,92.54,91.97
3Mo,108.83,112.66,111.81,109.68,107.88,104.49,100.64,99.08,96.79,93.01,91.67,90.82
6Mo,112.84,112.34,110.17,108.28,106.19,102.46,98.26,97.26,95.77,93.17,91.76,90.90
9Mo,113.87,110.85,109.25,106.93,104.40,100.87,96.97,95.96,94.96,91.85,90.55,89.95
1Yr,114.22,111.11,108.14,105.42,102.85,99.56,96.23,95.23,93.72,91.22,90.02,89.53
2Yr,106.63,104.05,102.01,100.66,99.23,96.80,94.58,93.57,92.05,90.05,88.92,88.53
3Yr,102.61,101.05,99.46,98.23,97.17,95.66,93.91,92.81,91.15,89.26,88.08,87.67
4Yr,100.18,98.80,97.85,97.05,96.09,94.84,93.36,92.16,90.36,88.56,87.49,87.13
5Yr,98.25,97.21,96.33,95.51,94.74,93.58,92.39,91.13,89.25,87.53,86.55,86.23
6Yr,96.50,95.73,94.90,94.22,93.64,92.43,91.15,89.82,87.86,86.22,85.32,85.07
7Yr,94.95,94.42,93.92,93.18,92.73,91.35,89.84,88.48,86.47,84.75,83.78,83.46
8Yr,93.64,93.23,92.44,91.87,91.25,89.88,88.29,86.96,84.97,83.49,82.55,82.35
9Yr,92.63,92.18,91.30,90.57,89.82,88.50,86.74,85.37,83.31,81.99,81.07,80.85
10Yr,91.59,91.09,90.19,89.26,88.47,87.05,85.19,83.82,81.82,80.56,79.65,79.37
12Yr,89.01,88.60,87.50,86.48,85.62,84.27,82.46,81.16,79.21,77.96,77.21,77.03
15Yr,85.03,84.76,83.48,82.54,81.46,80.05,78.21,77.03,75.26,74.11,73.45,73.33
20Yr,79.02,78.88,77.61,76.42,75.15,73.75,71.98,70.65,69.55,68.77,68.50,68.53
25Yr,76.85,76.72,75.23,73.95,72.61,71.21,69.16,68.30,67.01,66.32,66.26,66.51
30Yr,73.87,75.05,73.78,72.92,71.85,69.68,66.18,65.43,64.32,63.69,63.92,64.57
