expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,76.68,95.81,97.48,98.13,98.37,95.24,92.28,91.38,90.24,88.21,87.85,87.59
3Mo,86.74,97.92,99.68,100.22,101.20,98.72,96.39,95.53,94.25,92.07,91.27,90.92
6Mo,98.01,103.50,102.69,102.20,101.54,99.07,96.85,95.69,94.64,92.43,91.56,91.24
9Mo,103.08,104.23,103.91,102.86,101.62,99.14,96.84,95.88,94.46,92.08,91.16,90.95
1Yr,107.26,106.68,104.83,103.23,101.78,99.30,97.17,96.17,94.67,92.28,91.31,91.06
2Yr,107.06,104.86,103.06,101.97,100.79,98.61,96.74,95.61,93.92,91.68,90.72,90.52
3Yr,104.71,102.82,101.43,100.40,99.53,97.98,96.16,94.96,93.16,91.11,90.13,89.93
4Yr,102.44,100.85,100.06,99.42,98.62,97.32,95.76,94.49,92.59,90.68,89.74,89.51
5Yr,100.66,99.52,98.77,98.06,97.41,96.21,94.93,93.63,91.69,89.91,88.99,88.72
6Yr,99.14,98.10,97.35,96.74,96.25,95.04,93.78,92.41,90.39,88.71,87.83,87.61
7Yr,97.82,96.85,96.38,95.67,95.26,93.96,92.55,91.16,89.10,87.63,86.73,86.49
8Yr,96.41,95.60,94.90,94.42,93.89,92.60,91.10,89.75,87.72,86.21,85.29,85.10
9Yr,95.31,94.49,93.76,93.18,92.58,91.32,89.65,88.26,86.18,84.85,83.96,83.63
10Yr,94.18,93.34,92.61,91.93,91.14,89.98,88.20,86.83,84.79,83.54,82.68,82.43
12Yr,91.43,90.77,89.85,89.05,88.38,87.13,85.47,84.13,82.13,80.85,80.14,80.01
15Yr,87.20,86.82,85.72,84.96,84.62,82.81,81.22,79.98,78.11,76.84,76.26,76.20
20Yr,81.05,80.51,79.46,79.50,77.46,76.18,74.59,73.57,72.04,71.17,70.87,70.88
25Yr,78.62,78.22,76.95,75.88,74.75,73.46,71.57,70.71,69.43,68.79,68.65,68.82
30Yr,75.38,76.41,75.35,74.68,73.82,71.74,68.37,67.69,66.66,66.24,66.33,66.84
