expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,127.46,122.98,118.88,112.83,108.26,103.30,102.74,99.05,93.62,87.56,86.03,84.44
3Mo,130.76,126.12,116.83,108.91,100.85,96.76,92.85,91.15,88.62,84.67,84.11,83.98
6Mo,126.47,116.49,108.95,103.26,97.42,93.28,89.40,88.50,87.10,85.53,84.59,84.11
9Mo,122.06,110.36,104.34,100.20,96.00,91.86,87.72,86.78,85.43,83.64,82.86,82.57
1Yr,115.29,104.24,99.68,96.68,94.13,90.15,85.94,85.02,83.70,81.75,81.08,80.86
2Yr,97.07,93.01,90.30,88.97,87.20,84.96,82.98,82.07,80.76,79.21,78.57,78.45
3Yr,89.91,89.90,87.83,86.47,84.70,82.97,81.58,80.58,79.15,77.63,77.13,77.11
4Yr,87.14,87.16,85.65,84.42,83.25,81.87,80.67,79.66,78.19,76.93,76.36,76.34
5Yr,84.42,85.13,83.80,82.78,81.95,80.80,79.73,78.70,77.22,76.14,75.47,75.32
6Yr,83.93,84.12,83.00,82.33,81.84,80.49,79.08,78.00,76.43,75.34,74.61,74.47
7Yr,83.54,83.24,82.44,81.94,81.53,80.07,78.35,77.22,75.60,74.58,73.86,73.69
8Yr,82.79,82.63,81.88,81.31,80.75,79.27,77.50,76.36,74.72,73.73,72.88,72.70
9Yr,82.19,82.30,81.41,80.73,80.05,78.49,76.64,75.48,73.80,72.83,72.05,71.85
10Yr,81.83,80.98,80.34,79.83,78.49,76.64,75.76,74.59,72.90,71.81,71.17,70.93
12Yr,81.34,81.01,80.11,79.20,78.33,76.64,74.58,73.43,71.77,70.72,70.07,69.95
15Yr,80.58,79.85,78.84,77.83,76.86,75.03,72.82,71.66,70.00,68.97,68.56,68.56
20Yr,78.52,78.41,76.71,75.32,73.92,72.22,70.01,68.92,67.37,66.75,66.57,66.70
25Yr,76.19,76.84,74.75,73.25,71.83,70.37,68.25,67.31,65.98,65.29,64.80,64.78
30Yr,73.08,75.92,73.47,71.52,69.78,67.96,65.38,64.62,63.53,63.13,62.42,62.45
