expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,171.05,156.85,150.76,142.62,136.03,133.27,136.14,130.80,122.89,112.54,110.47,108.32
3Mo,177.11,161.40,147.53,135.01,122.19,119.04,116.54,114.10,110.45,104.55,104.81,105.48
6Mo,161.93,144.94,133.79,124.47,114.87,110.71,106.82,106.00,104.70,103.20,102.55,102.36
9Mo,151.57,132.83,124.47,118.02,111.45,107.12,102.65,101.72,100.21,98.07,97.70,97.79
1Yr,138.42,120.30,114.82,110.93,107.49,103.16,98.50,98.30,95.55,92.79,92.63,92.92
2Yr,103.48,97.69,95.31,94.29,92.84,90.66,88.77,87.86,85.64,84.80,84.57,84.84
3Yr,91.77,94.03,91.62,90.37,87.78,86.12,84.82,83.88,82.51,80.98,80.75,80.99
4Yr,87.58,89.64,87.89,86.42,85.00,83.76,82.76,81.88,80.61,79.54,79.10,79.20
5Yr,83.38,85.88,84.43,83.28,81.39,81.39,80.63,79.82,78.67,78.01,77.30,77.13
6Yr,83.01,84.55,83.32,82.54,81.94,80.76,79.59,78.73,77.50,76.82,75.97,75.70
7Yr,82.74,83.33,82.45,81.86,81.36,80.07,78.46,77.57,76.28,75.67,74.73,74.33
8Yr,81.81,82.54,81.69,81.01,80.35,78.71,76.71,75.79,74.48,73.88,72.91,72.60
9Yr,81.03,82.02,81.01,80.21,79.41,77.43,74.91,73.97,72.61,72.03,71.23,71.00
10Yr,80.54,81.35,80.38,79.40,78.46,76.13,73.08,72.11,70.74,70.04,69.47,69.31
12Yr,80.14,80.59,79.51,78.42,75.01,71.93,70.99,70.74,70.04,69.47,69.31,68.60
15Yr,79.56,79.48,78.22,76.96,75.74,73.32,71.93,70.21,69.27,67.92,67.30,66.75
20Yr,77.82,78.45,76.25,74.36,72.45,70.14,67.01,66.24,65.14,65.13,65.29,65.76
25Yr,75.04,77.02,74.47,72.50,70.60,68.75,66.04,65.34,64.35,64.00,63.48,63.42
30Yr,73.06,76.23,73.35,70.95,68.76,66.78,63.97,63.36,62.49,62.17,61.06,60.68
