expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,103.84,107.84,104.80,99.80,96.28,89.73,86.88,84.07,79.97,76.35,75.08,73.76
3Mo,106.54,109.49,103.08,98.01,92.92,88.23,83.44,82.12,80.16,77.22,76.21,75.62
6Mo,108.44,104.02,98.57,95.01,91.33,87.10,83.12,82.18,80.70,79.07,78.04,77.46
9Mo,107.72,101.05,96.32,93.50,90.62,86.64,82.75,81.82,80.48,78.79,77.88,77.45
1Yr,104.67,98.12,94.05,91.54,89.50,85.89,82.25,81.40,80.18,78.46,77.61,77.21
2Yr,95.44,92.31,89.48,88.02,86.12,83.92,82.01,81.08,79.75,78.25,77.47,77.21
3Yr,90.47,89.65,87.73,86.50,84.87,83.07,81.57,80.57,79.13,77.67,77.03,76.87
4Yr,88.35,87.58,86.16,85.02,83.93,82.47,81.14,80.09,78.58,77.30,76.65,76.55
5Yr,86.27,86.19,84.90,83.82,83.13,81.88,80.67,79.58,78.01,76.84,76.14,75.98
6Yr,85.67,85.32,84.21,83.55,83.08,81.70,80.25,79.10,77.44,76.25,75.53,75.40
7Yr,85.19,84.57,83.76,83.25,82.83,81.70,80.25,79.10,77.44,76.25,75.53,75.40
8Yr,84.44,84.01,83.28,82.74,82.21,80.83,79.75,78.55,76.83,75.69,75.02,74.90
9Yr,83.85,83.73,82.90,82.28,81.74,80.43,79.20,78.00,76.26,75.14,74.33,74.18
10Yr,83.56,83.42,82.56,81.81,81.20,80.26,78.64,76.80,76.26,75.14,74.33,74.18
12Yr,82.97,82.42,81.62,81.10,80.81,79.69,78.64,76.80,75.14,74.53,73.18,72.93
15Yr,81.97,81.14,80.23,79.33,79.04,77.93,76.82,75.60,73.84,72.67,71.79,71.79
20Yr,79.72,79.43,77.94,76.75,78.47,76.86,74.99,73.76,71.99,70.81,70.27,70.15
25Yr,77.20,77.72,75.83,74.54,74.10,72.70,71.07,69.34,67.61,66.74,66.28,66.30
30Yr,73.88,76.66,74.41,72.66,71.12,69.36,66.88,66.03,64.81,64.32,63.83,64.08
