expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,90.46,122.78,119.08,113.45,109.29,103.92,102.69,99.03,93.65,87.73,86.23,84.66
3Mo,111.19,117.23,113.30,110.71,107.95,104.35,101.17,99.45,96.89,93.05,92.83,93.02
6Mo,100.14,113.24,108.84,106.26,103.50,99.21,95.07,94.17,92.76,91.37,91.25,91.58
9Mo,101.41,107.70,103.89,101.95,99.92,96.92,94.49,93.30,91.57,89.35,89.27,89.67
1Yr,100.74,102.85,99.46,97.63,96.25,94.52,93.70,92.32,90.29,87.46,87.30,87.58
2Yr,100.83,99.50,96.66,95.19,93.28,91.57,90.37,89.30,87.74,86.05,85.53,85.50
3Yr,99.08,98.44,96.54,95.33,93.72,91.58,89.56,88.65,87.33,86.21,85.35,84.95
4Yr,97.89,96.58,95.15,94.01,92.91,91.19,89.46,88.50,87.11,86.16,85.32,85.00
5Yr,96.69,95.36,94.05,93.04,92.22,90.79,89.30,88.30,86.86,86.02,85.14,84.79
6Yr,95.68,94.63,93.37,92.56,91.94,90.69,89.45,88.36,86.79,85.85,84.95,84.64
7Yr,94.77,94.02,92.93,92.15,91.44,90.48,89.51,88.35,86.68,85.71,84.86,84.55
8Yr,93.72,93.35,92.55,91.93,91.33,90.21,88.98,87.80,86.09,85.10,84.19,83.94
9Yr,92.83,92.95,92.26,91.77,91.29,89.96,88.42,87.20,85.43,85.10,84.19,83.94
10Yr,92.23,92.40,92.01,91.60,91.23,89.96,86.58,85.43,84.78,83.62,83.05,82.89
12Yr,91.13,91.15,90.62,90.08,89.59,88.63,86.40,84.58,83.32,82.09,81.42,81.27
15Yr,91.52,89.31,88.57,87.93,87.13,83.68,84.25,82.94,82.09,81.04,79.68,78.93
20Yr,86.70,86.78,84.54,84.62,83.68,82.64,80.03,81.04,78.01,76.67,76.09,75.82
25Yr,83.69,84.50,82.93,81.94,81.03,79.95,78.40,77.15,75.34,74.04,73.76,73.94
30Yr,79.88,82.86,80.98,79.58,78.39,76.69,74.28,73.19,71.61,70.72,70.82,71.65
