expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,76.77,106.90,104.16,99.48,96.28,89.42,86.05,83.32,79.33,75.91,74.67,73.37
3Mo,91.53,102.83,100.02,98.51,96.75,92.44,88.21,86.89,84.91,82.03,81.27,80.93
6Mo,90.48,101.29,97.91,96.33,94.52,90.24,86.14,85.20,83.74,82.24,81.72,81.66
9Mo,94.25,98.93,95.59,94.12,92.54,89.25,86.39,85.33,83.78,81.83,81.36,81.36
1Yr,95.56,96.96,93.58,91.76,90.40,88.09,86.43,85.31,83.68,81.47,80.92,80.82
2Yr,97.29,95.61,92.72,91.19,89.23,87.33,85.85,84.84,83.38,81.80,81.10,80.94
3Yr,95.16,94.05,92.22,91.07,89.52,87.51,85.68,84.73,83.36,82.13,81.30,80.94
4Yr,93.85,92.42,91.04,89.95,88.90,87.26,85.66,84.65,83.19,82.08,81.29,81.04
5Yr,92.54,91.43,90.15,89.18,88.40,87.01,85.58,84.52,82.98,81.95,81.15,80.87
6Yr,91.68,90.71,89.52,88.79,88.24,86.93,85.58,84.44,82.79,81.69,80.88,80.65
7Yr,90.92,90.09,89.13,88.47,87.89,86.73,85.48,84.28,82.55,81.45,80.70,80.50
8Yr,90.02,89.49,88.75,88.17,87.62,86.42,85.08,83.86,82.10,81.01,80.15,79.97
9Yr,89.27,89.18,88.45,87.93,87.42,86.24,84.83,83.40,81.59,80.50,79.74,79.54
10Yr,88.82,88.70,88.20,87.68,87.20,85.81,84.17,82.91,81.08,79.86,79.25,79.05
12Yr,87.88,87.59,86.99,86.37,85.68,84.43,82.82,81.55,79.73,78.48,77.76,77.58
15Yr,86.51,85.96,84.63,83.69,83.41,82.43,81.48,79.40,78.06,76.70,76.27,75.45
20Yr,83.69,83.63,82.43,81.48,79.97,79.40,78.06,76.70,76.27,75.66,72.97,72.75
25Yr,81.00,81.61,79.99,78.96,77.99,75.06,74.75,72.36,71.18,70.83,70.83,70.95
30Yr,77.32,80.17,78.21,76.75,75.49,73.79,71.40,70.39,68.91,68.17,68.10,68.75
