expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,127.16,160.87,155.16,147.37,141.13,137.72,139.69,134.21,126.10,115.61,113.52,111.37
3Mo,156.24,153.88,146.78,141.13,135.34,132.67,130.90,128.36,124.55,118.67,119.33,120.43
6Mo,130.99,144.41,137.23,131.97,126.51,121.95,117.50,116.15,115.20,113.88,114.34,115.27
9Mo,127.13,132.53,127.05,123.50,119.89,117.08,114.99,113.53,111.40,108.57,109.16,110.24
1Yr,121.10,121.08,117.21,114.94,113.13,112.05,112.22,110.28,107.43,103.32,103.88,104.90
2Yr,111.52,110.20,107.51,106.20,104.45,103.03,102.29,101.08,99.33,97.33,97.22,97.62
3Yr,108.98,109.87,107.70,106.23,104.36,101.95,99.54,98.69,97.47,96.23,95.66,95.27
4Yr,107.60,107.04,105.42,104.09,102.80,100.92,98.95,98.10,96.89,96.26,95.33,94.94
5Yr,106.25,104.89,103.45,102.32,101.39,99.89,98.32,97.48,96.29,95.90,94.86,94.36
6Yr,104.93,104.05,102.58,101.57,100.73,99.66,98.67,97.72,96.36,95.81,94.70,94.18
7Yr,103.72,103.34,101.96,100.88,99.89,99.32,98.93,97.89,96.40,95.74,94.63,94.08
8Yr,102.31,102.45,101.52,100.77,100.04,99.02,97.94,96.85,95.29,94.58,93.53,93.15
9Yr,101.05,101.84,101.18,100.72,100.26,98.73,96.91,95.77,94.13,92.92,92.05,91.47
10Yr,100.09,101.08,100.87,100.65,100.46,98.44,95.86,94.68,92.98,92.35,91.53,91.47
12Yr,98.67,99.53,99.10,98.67,98.28,94.25,91.85,89.87,87.55,86.24,85.67,84.37
15Yr,93.44,97.24,94.26,92.94,91.93,90.92,89.87,87.55,86.67,84.04,82.93,82.93
20Yr,90.22,91.61,90.00,88.98,88.03,86.93,85.34,84.02,79.65,78.01,77.07,78.18
25Yr,83.69,84.50,82.93,81.94,81.03,79.95,78.40,77.15,75.34,74.04,73.76,73.94
30Yr,86.21,89.61,87.73,86.35,85.17,85.39,83.86,83.86,79.65,77.88,76.71,77.07
