expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,76.00,101.85,99.45,95.05,92.16,84.63,80.28,77.91,74.46,72.06,70.92,69.71
3Mo,86.21,99.06,95.06,94.62,92.89,88.22,83.47,82.29,80.53,77.99,76.98,76.39
6Mo,90.12,97.98,94.68,93.22,91.51,87.21,83.12,82.16,80.66,79.10,78.37,78.11
9Mo,94.10,96.66,93.29,91.80,90.21,86.73,83.59,82.58,81.10,79.28,78.61,78.42
1Yr,95.41,95.51,92.03,90.13,88.68,86.02,83.84,82.84,81.38,79.42,78.71,78.45
2Yr,96.13,94.18,91.28,89.75,87.77,85.78,84.17,83.18,81.76,80.23,79.46,79.20
3Yr,93.56,92.35,90.52,89.38,87.84,85.89,84.15,83.19,81.79,80.49,79.70,79.38
4Yr,92.12,90.73,89.36,88.27,87.23,85.64,84.11,83.08,81.79,80.41,79.66,79.44
5Yr,90.69,89.76,88.49,87.52,86.75,85.39,84.01,82.92,81.35,80.25,79.48,79.23
6Yr,89.90,89.02,87.86,87.16,86.64,85.30,83.91,82.75,81.07,79.92,79.14,78.95
7Yr,89.21,88.39,87.48,86.87,86.34,85.10,83.72,82.51,80.76,79.62,78.91,78.75
8Yr,88.37,87.81,87.08,86.53,85.98,84.75,83.34,82.11,80.34,79.22,78.38,78.21
9Yr,87.68,87.52,86.78,86.24,85.70,84.40,82.93,81.67,79.85,78.74,77.98,77.79
10Yr,87.29,87.07,86.51,85.93,85.40,84.05,82.93,81.47,79.85,78.74,77.98,77.79
12Yr,86.43,86.03,85.38,84.51,84.11,84.05,82.47,81.21,79.38,78.14,76.82,75.90
15Yr,84.14,84.03,82.37,81.70,80.93,79.72,78.18,79.89,78.07,76.82,76.09,75.90
20Yr,82.63,82.37,81.70,80.93,82.18,79.77,79.77,77.90,76.03,74.71,73.89,73.89
25Yr,79.84,80.38,78.72,77.64,76.08,77.91,76.45,75.15,73.24,72.06,71.56,71.38
30Yr,76.24,79.04,77.03,75.52,74.20,72.50,70.10,69.12,67.71,67.04,66.87,67.43
