expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,92.16,102.53,99.94,95.35,92.28,84.93,80.92,78.49,74.96,72.41,71.25,70.02
3Mo,95.50,102.95,98.01,94.51,90.90,86.02,80.93,79.75,78.00,75.44,74.28,73.54
6Mo,100.23,99.58,95.14,92.59,89.88,85.61,81.57,80.61,79.10,77.46,76.45,75.91
9Mo,101.49,97.88,93.75,91.49,89.26,85.41,81.72,80.77,79.41,77.72,76.82,76.40
1Yr,100.31,96.17,92.32,90.06,88.25,84.91,81.69,80.83,79.59,77.89,77.02,76.60
2Yr,95.22,92.52,89.65,88.15,86.21,84.06,82.23,81.28,79.92,78.43,77.63,77.33
3Yr,91.20,90.13,88.26,87.07,85.49,83.65,82.08,81.09,79.65,78.24,77.54,77.32
4Yr,89.35,88.29,86.90,85.79,84.73,83.22,81.83,80.78,79.26,78.00,77.31,77.17
5Yr,87.53,87.12,85.85,84.88,84.10,82.81,81.53,80.43,78.84,77.67,76.95,76.76
6Yr,86.88,86.31,85.19,84.53,84.05,82.67,81.23,80.06,78.38,77.17,76.44,76.30
7Yr,86.33,85.61,84.77,84.24,83.80,82.42,80.83,79.62,77.87,76.71,76.04,75.92
8Yr,85.57,85.05,84.33,83.79,83.26,81.93,80.38,79.16,77.40,76.26,75.44,75.30
9Yr,84.96,84.78,83.98,83.39,82.81,81.46,79.90,78.66,76.86,75.75,75.11,74.98
10Yr,84.65,84.33,83.59,82.93,82.33,81.46,79.90,78.14,76.51,75.29,74.46,74.22
12Yr,82.90,82.08,81.12,79.93,79.55,78.02,76.28,74.90,73.12,71.97,71.39,71.23
15Yr,82.93,80.23,78.81,78.12,77.71,76.59,75.25,73.58,72.32,70.52,69.52,69.05
20Yr,80.54,80.23,78.81,78.12,77.71,76.52,75.25,73.58,72.32,71.97,71.39,71.23
25Yr,77.93,78.43,76.63,75.42,74.29,73.05,71.26,70.17,68.62,67.66,67.23,67.27
30Yr,74.52,77.28,75.12,73.46,72.01,70.28,67.83,66.94,65.65,65.11,64.73,65.08
