expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,81.92,100.26,97.92,93.56,90.73,82.97,78.31,76.06,72.80,70.77,69.66,68.47
3Mo,87.63,99.10,95.48,93.26,90.84,85.96,80.86,79.74,78.07,75.66,74.50,73.75
6Mo,93.67,97.37,93.71,91.91,89.90,85.61,81.53,80.56,79.05,77.43,76.53,76.09
9Mo,96.88,96.31,92.66,90.92,89.85,85.41,81.98,81.01,79.60,77.86,77.04,76.71
1Yr,97.07,95.25,91.61,89.55,87.95,84.94,82.22,81.31,79.99,78.20,77.38,77.01
2Yr,95.44,93.15,90.25,88.73,86.76,84.68,82.95,81.99,80.60,79.09,78.29,78.00
3Yr,92.23,91.04,89.19,88.04,86.49,84.59,82.64,81.96,80.54,79.19,78.44,78.16
4Yr,90.61,89.35,87.97,86.88,85.83,84.29,82.82,81.78,80.27,79.04,78.32,78.14
5Yr,89.01,88.32,87.05,86.08,85.31,83.98,82.65,81.55,79.96,78.81,78.07,77.86
6Yr,88.29,87.54,86.41,85.74,85.24,83.87,82.45,81.28,79.60,78.41,77.65,77.49
7Yr,87.68,86.89,86.02,85.45,84.97,83.62,82.16,80.95,79.19,78.03,77.34,77.21
8Yr,86.88,86.33,85.61,85.06,84.53,83.24,81.77,80.54,78.76,77.62,76.80,76.65
9Yr,86.24,86.05,85.28,84.72,84.16,82.84,81.40,80.09,78.27,77.15,76.36,76.20
10Yr,85.89,85.62,84.94,84.36,83.78,82.43,80.97,79.61,77.79,76.55,75.91,75.68
12Yr,85.11,84.64,83.93,83.23,82.51,81.20,79.60,78.34,76.53,75.29,74.56,74.37
15Yr,83.97,83.20,82.38,81.56,80.79,79.33,77.68,76.40,74.56,73.27,72.67,72.48
20Yr,81.52,81.21,79.86,78.82,77.77,76.52,74.98,73.69,71.82,70.73,70.28,70.14
25Yr,78.81,79.32,77.59,76.46,75.39,74.21,72.50,71.37,69.75,68.72,68.31,68.38
30Yr,75.31,78.07,76.00,74.42,73.04,71.32,68.90,67.97,66.62,66.01,65.74,66.20
