term,bid,ask
1 WK,4.13606,4.15434
2 WK,4.17397,4.17841
3 WK,4.16313,4.16649
4 WK,4.06725,4.16386
5 MO,3.94195,4.01479
6 MO,3.87787,3.95174
7 MO,3.83628,3.88838
8 MO,3.78796,3.84412
9 MO,3.74703,3.79914
10 MO,3.67013,3.75617
11 MO,3.62905,3.72010
12 MO,3.59701,3.68017
13 MO,3.40787,3.63855
2 YR,3.31917,3.60499
3 YR,3.25823,3.41263
4 YR,3.26401,3.26317
5 YR,3.29554,4.24652
6 YR,3.39955,3.29886
7 YR,3.44052,3.37000
8 YR,3.46700,3.47000
9 YR,3.52714,3.55853
10 YR,3.58547,3.58853
12 YR,3.69136,3.69624
15 YR,3.81781,3.80512
20 YR,3.92131,3.92479
25 YR,3.93309,3.96624
30 YR,3.87213,3.88397
