expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,103.17,107.98,111.29,113.45,114.81,122.83,135.91,133.92,131.07,126.89,130.32,133.63
3Mo,83.47,112.65,116.86,119.28,121.88,124.24,128.96,128.74,128.56,128.16,128.73,129.51
6Mo,86.62,104.75,107.08,109.37,111.62,112.23,114.47,114.09,113.67,112.91,113.85,115.13
9Mo,95.29,104.00,105.08,106.69,108.25,109.11,111.72,111.13,110.40,109.27,110.18,111.49
1Yr,101.02,101.19,101.71,102.80,103.89,104.99,107.35,106.68,105.81,104.46,105.18,106.39
2Yr,100.21,98.37,98.97,100.00,100.99,100.47,100.17,99.85,99.39,99.03,99.77,100.98
3Yr,97.74,100.08,99.46,99.40,99.40,99.09,98.77,98.27,97.66,97.18,97.44,98.17
4Yr,97.72,99.13,98.81,98.70,98.56,98.50,98.62,98.03,97.27,96.71,96.54,96.87
5Yr,97.67,98.32,98.11,97.96,97.81,97.81,97.58,96.82,96.68,96.11,95.53,95.40
6Yr,98.75,98.41,98.06,97.85,97.63,97.88,98.54,97.80,96.82,96.04,95.37,95.09
7Yr,100.04,98.54,98.13,97.74,97.44,97.86,98.78,97.97,96.91,96.22,95.24,94.75
8Yr,99.63,98.38,98.01,97.90,97.78,97.63,97.70,96.76,95.51,94.70,93.88,93.60
9Yr,99.15,97.69,97.71,97.92,97.11,97.42,96.55,95.46,94.01,93.20,92.57,92.48
10Yr,98.25,97.15,97.49,97.91,97.39,97.08,97.08,95.42,94.01,93.20,92.57,92.48
12Yr,96.71,95.91,95.87,95.89,95.06,93.66,93.42,91.98,92.67,91.74,91.34,91.34
15Yr,96.12,93.85,93.29,93.00,92.52,91.92,89.96,88.60,87.83,86.44,86.28,85.54
20Yr,89.76,88.85,88.04,87.67,87.13,86.81,86.27,84.99,84.21,81.70,81.40,81.34
25Yr,86.45,85.99,85.44,84.43,83.77,83.42,82.29,81.45,80.32,79.74,78.66,78.35
30Yr,82.22,82.54,82.40,81.65,81.32,80.38,77.05,76.51,76.14,75.96,75.13,74.98
