expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,173.10,144.46,143.47,141.35,138.42,136.09,133.84,132.31,130.13,126.47,128.73,130.86
3Mo,148.16,141.51,138.23,133.13,128.20,125.52,122.69,121.20,121.35,119.62,119.12,118.83
6Mo,129.41,131.39,125.33,119.12,112.80,110.73,108.93,107.20,104.75,100.32,100.31,100.64
9Mo,122.92,120.70,115.68,111.13,106.49,103.94,101.43,100.04,98.09,94.63,95.08,95.93
1Yr,114.37,108.20,104.84,102.03,99.21,96.47,93.07,92.10,90.76,88.28,89.07,90.32
2Yr,91.41,89.24,88.18,87.55,86.89,84.70,81.87,81.67,81.39,80.84,80.58,80.78
3Yr,83.46,87.05,85.19,83.87,82.60,81.41,79.74,79.34,78.86,78.22,77.95,78.14
4Yr,81.49,83.66,82.37,81.29,80.17,79.41,78.47,78.06,77.55,77.03,76.65,76.75
5Yr,79.46,80.36,79.45,78.62,77.78,77.29,76.99,76.56,76.03,75.73,75.24,75.18
6Yr,78.85,80.06,79.13,78.35,77.54,77.04,76.59,76.02,75.30,74.61,74.08,73.92
7Yr,78.39,79.80,78.92,78.06,77.28,76.71,76.14,75.43,74.50,73.73,73.08,72.62
8Yr,78.55,79.95,78.70,77.70,76.69,75.64,74.38,73.54,72.45,71.57,70.83,70.62
9Yr,78.60,79.57,78.30,77.20,76.09,74.60,72.53,71.56,70.28,69.42,68.77,68.64
10Yr,78.24,79.35,77.97,76.67,75.43,73.41,70.68,69.63,68.26,67.30,66.43,66.63
12Yr,77.71,78.51,76.97,75.50,74.17,72.31,69.65,68.60,67.21,66.29,64.75,65.03
15Yr,77.62,76.94,74.76,73.23,71.87,70.58,68.06,66.61,65.03,63.57,62.64,62.12
20Yr,73.13,74.76,72.28,70.23,67.99,66.52,64.26,63.55,62.64,62.33,62.11,62.12
25Yr,71.64,72.92,70.91,68.44,66.31,65.08,62.65,61.92,60.95,60.25,59.63,59.78
30Yr,69.24,70.48,69.10,67.11,65.52,63.99,59.79,58.89,57.97,56.37,56.37,57.07
