expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,80.00,82.24,82.29,81.25,79.44,77.00,74.16,73.90,73.65,73.32,73.46,73.50
3Mo,81.57,83.85,83.54,81.47,79.52,77.82,76.36,76.04,75.71,74.89,74.55,74.42
6Mo,82.23,83.95,82.60,81.14,79.59,78.20,77.39,76.81,76.10,74.81,74.41,74.35
9Mo,84.35,84.46,82.90,81.82,80.67,79.19,78.26,77.81,77.26,76.37,76.09,76.21
1Yr,84.57,83.61,82.32,81.59,80.85,79.53,78.23,77.94,77.63,77.06,76.76,76.95
2Yr,82.33,81.18,80.68,80.41,80.11,79.22,78.37,78.03,77.54,76.95,76.51,76.53
3Yr,81.89,81.05,80.28,80.05,79.88,79.34,78.66,78.15,77.52,76.87,76.41,76.42
4Yr,81.53,80.68,80.23,79.99,79.71,79.23,78.72,78.14,77.39,76.73,76.27,76.31
5Yr,81.13,80.45,80.13,79.87,79.62,79.02,78.57,77.91,77.06,76.47,76.03,76.02
6Yr,81.37,80.75,80.36,80.12,79.86,79.21,78.51,77.78,76.80,75.94,75.59,75.61
7Yr,81.78,81.10,80.72,80.36,80.09,79.30,78.42,77.58,76.48,75.67,75.17,75.16
8Yr,82.18,81.47,80.78,80.35,79.71,79.01,77.97,77.03,75.76,74.86,74.30,74.27
9Yr,82.47,81.31,80.66,80.20,79.71,78.55,77.46,76.38,74.93,74.07,73.47,73.41
10Yr,82.35,81.30,80.62,80.02,79.47,78.34,76.95,75.80,74.93,74.03,73.47,73.41
12Yr,81.52,80.45,79.61,79.83,79.21,78.25,75.73,74.56,72.99,72.02,71.48,71.43
15Yr,80.00,78.91,77.94,77.19,76.25,75.31,73.85,72.14,71.09,70.02,69.55,69.51
20Yr,76.05,75.56,74.19,73.24,72.12,71.18,69.72,68.71,67.34,66.50,66.18,66.11
25Yr,73.70,73.37,72.37,70.91,69.78,69.02,69.29,66.71,65.36,64.75,64.12,64.25
30Yr,70.43,70.59,70.12,69.03,68.35,67.22,63.59,62.81,62.08,61.20,61.26,62.02
