expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,66.92,79.00,81.64,83.22,84.04,89.06,97.43,96.31,94.75,92.57,94.49,96.31
3Mo,59.63,84.00,87.66,89.60,91.62,93.04,96.23,96.08,96.00,95.75,96.07,96.60
6Mo,69.06,81.67,84.21,86.57,88.76,88.90,90.35,90.20,90.12,89.91,90.29,91.00
9Mo,78.51,84.76,85.87,87.42,88.85,89.13,90.79,90.48,90.16,89.70,90.00,90.69
1Yr,84.85,86.06,86.40,87.27,88.10,88.55,89.88,89.54,89.12,88.49,88.59,89.15
2Yr,88.72,87.57,87.65,88.15,88.63,88.21,88.03,87.70,87.20,86.74,86.92,87.56
3Yr,87.18,88.71,88.24,88.31,88.43,88.14,87.83,87.33,86.69,86.15,86.04,86.40
4Yr,88.82,88.61,88.39,88.37,88.31,88.11,88.11,87.33,86.69,86.15,86.04,86.40
5Yr,88.88,88.62,88.46,88.36,88.25,87.96,87.96,87.26,86.35,85.74,85.23,85.16
6Yr,89.68,88.92,88.64,88.51,88.35,87.96,87.96,87.26,86.35,85.74,85.23,85.16
7Yr,90.64,89.25,88.95,88.66,88.45,88.26,88.13,87.38,86.38,85.54,85.05,84.94
8Yr,90.69,89.40,88.97,88.79,88.60,88.12,88.27,87.44,86.35,85.64,84.89,83.82
9Yr,90.17,89.01,88.81,88.79,88.78,88.12,87.69,86.74,85.47,84.62,83.96,83.82
10Yr,90.17,88.78,88.72,88.74,88.73,88.00,87.04,85.95,84.49,83.66,83.06,83.80
12Yr,86.96,86.74,88.44,88.74,88.82,87.73,86.40,85.23,83.57,82.03,81.00,80.56
15Yr,82.65,85.92,85.30,84.89,84.29,83.63,82.57,81.31,79.60,78.35,77.99,78.04
20Yr,82.65,85.92,84.71,84.89,84.29,83.63,82.57,81.31,79.60,78.35,81.00,78.61
25Yr,79.69,79.62,80.71,80.23,79.57,79.02,78.15,76.96,75.34,74.09,73.77,73.68
30Yr,75.81,75.86,75.71,74.95,74.60,73.63,70.27,69.63,69.11,68.69,68.31,68.62
