expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,95.44,91.26,90.98,89.62,87.49,84.65,81.16,80.72,80.18,79.35,79.76,80.07
3Mo,92.24,91.81,90.72,87.88,85.14,83.05,80.95,80.57,80.14,79.11,78.68,78.47
6Mo,89.13,90.27,87.90,85.41,82.82,81.19,80.02,79.22,78.17,76.30,75.88,75.80
9Mo,89.45,88.80,86.52,84.73,82.85,81.07,79.65,79.05,78.28,76.99,76.75,76.91
1Yr,87.94,86.10,84.40,84.26,82.10,80.43,78.59,78.22,77.79,77.00,76.79,77.06
2Yr,82.58,81.52,80.70,80.31,79.89,78.82,77.69,77.36,76.89,76.28,75.79,75.77
3Yr,81.36,80.85,79.93,79.56,79.26,78.63,77.81,77.31,76.69,76.03,75.54,75.53
4Yr,80.81,80.15,79.60,79.25,78.88,78.34,77.73,77.17,76.45,75.79,75.32,75.35
5Yr,80.22,79.61,79.22,78.90,78.58,77.95,77.47,76.83,76.01,75.44,75.00,75.01
6Yr,80.33,79.86,79.42,79.12,78.80,78.10,77.35,76.63,75.68,74.83,74.47,74.50
7Yr,80.59,80.16,79.74,79.33,79.01,78.16,77.20,76.37,75.28,74.46,73.96,73.96
8Yr,81.02,80.54,79.78,79.27,78.75,77.80,76.66,75.72,74.47,73.56,73.00,72.97
9Yr,81.33,80.39,79.64,79.07,78.49,77.45,76.06,74.99,73.55,72.81,71.87,71.19
10Yr,81.23,80.39,79.58,78.85,78.17,76.97,75.48,74.33,72.81,71.87,71.19,71.04
12Yr,80.47,79.55,78.60,77.71,76.97,75.85,73.94,72.30,71.14,70.63,70.09,70.05
15Yr,79.05,78.05,76.98,76.14,75.11,74.08,72.49,71.33,69.78,68.29,68.29,68.27
20Yr,72.16,74.90,73.38,72.29,71.03,70.01,68.42,67.45,66.15,65.39,65.08,65.01
25Yr,72.94,72.78,71.65,70.06,68.82,67.99,66.15,65.34,64.24,63.63,63.02,63.18
30Yr,69.82,70.08,69.49,68.29,67.51,66.32,62.62,61.81,61.04,60.05,60.17,60.97
