expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,64.05,74.40,74.99,74.47,73.16,71.80,70.79,70.60,70.44,70.35,70.47,70.47
3Mo,70.78,77.35,78.09,77.05,76.15,75.10,74.66,74.42,74.21,73.62,73.42,73.44
6Mo,75.81,78.78,78.60,78.31,77.92,76.84,76.52,76.15,75.74,74.99,74.67,74.70
9Mo,80.02,81.20,80.41,80.10,79.70,78.61,78.26,77.92,77.55,76.98,76.73,76.87
1Yr,82.08,81.97,81.11,80.81,80.48,79.56,78.86,78.62,78.38,77.95,77.64,77.80
2Yr,82.60,81.71,81.15,81.02,80.86,80.14,79.52,79.18,78.67,78.10,77.75,77.86
3Yr,82.72,81.73,81.07,80.96,80.91,80.44,79.88,79.37,78.73,78.10,77.68,77.73
4Yr,82.52,81.59,81.23,81.07,80.88,80.46,80.03,79.44,78.68,78.01,77.58,77.63
5Yr,82.28,81.58,81.31,81.11,80.92,80.36,79.98,79.30,78.42,77.81,77.36,77.35
6Yr,82.65,81.91,81.57,81.38,81.16,80.57,79.97,79.23,78.24,77.37,77.00,77.01
7Yr,83.18,82.29,81.96,81.63,81.40,80.69,79.93,79.09,78.24,77.37,77.00,77.01
8Yr,83.55,82.64,82.02,81.66,81.28,80.46,79.53,78.58,77.98,77.18,76.66,76.48
9Yr,83.80,82.46,81.91,81.55,81.05,80.26,79.06,78.53,77.31,76.41,75.85,75.81
10Yr,83.64,82.43,81.88,81.41,80.99,80.11,78.97,77.97,76.52,75.67,75.07,75.07
12Yr,82.74,81.55,80.82,80.16,79.65,78.51,76.97,75.85,74.30,73.57,73.03,72.99
15Yr,78.11,77.97,77.09,76.98,76.42,75.57,73.71,72.51,71.04,70.63,70.09,70.05
20Yr,77.10,76.42,75.18,74.36,73.36,72.51,71.32,70.14,68.70,67.77,67.45,67.36
25Yr,74.62,74.16,73.26,71.92,70.90,70.20,68.57,67.74,66.62,66.03,65.36,65.45
30Yr,71.21,71.30,70.92,69.93,69.35,68.25,64.70,63.95,63.26,62.48,62.48,63.17
