expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,51.09,59.94,62.95,63.74,63.94,61.53,59.83,58.82,57.40,57.05,56.74,56.38
3Mo,61.07,69.15,71.27,71.98,72.67,70.97,68.96,68.36,67.66,66.34,65.79,65.51
6Mo,68.79,74.88,75.40,76.17,77.01,75.97,74.61,74.00,73.19,71.94,71.37,71.13
9Mo,72.67,78.18,78.09,78.56,77.85,77.65,76.47,75.88,75.08,73.96,73.43,73.21
1Yr,76.81,80.41,80.38,80.15,79.93,79.97,77.97,77.34,75.57,75.41,74.95,74.73
2Yr,82.89,83.51,83.12,82.56,81.81,80.96,80.15,79.50,78.59,77.58,77.09,76.96
3Yr,85.57,85.05,84.44,83.93,83.17,82.27,81.31,80.57,79.61,78.64,78.11,77.99
4Yr,86.45,85.50,85.08,84.46,83.86,82.83,81.72,80.91,79.84,78.95,78.36,77.99
5Yr,86.67,85.50,85.42,84.89,84.35,83.22,81.91,81.02,79.86,79.09,78.42,78.28
6Yr,86.72,86.00,85.32,84.85,84.50,83.20,81.74,80.78,79.50,78.45,77.88,77.80
7Yr,86.50,85.80,85.25,84.84,84.49,83.06,81.52,80.47,79.09,77.99,77.40,77.28
8Yr,86.23,85.60,84.96,84.44,83.97,82.54,80.98,79.87,78.39,77.32,76.65,76.55
9Yr,85.90,85.04,84.51,84.02,83.49,82.07,80.36,79.21,77.66,76.63,75.99,75.88
10Yr,85.45,84.76,84.16,83.83,83.06,81.48,79.77,78.58,77.27,76.63,75.99,75.88
12Yr,84.45,83.79,83.04,82.19,81.52,80.15,78.54,77.30,76.99,75.92,75.34,75.12
15Yr,83.79,83.04,82.24,81.28,80.46,78.61,76.82,75.63,74.99,72.43,71.74,71.66
20Yr,80.85,80.83,79.83,78.33,77.19,76.19,74.81,73.54,72.31,71.80,71.74,71.66
25Yr,77.75,77.28,78.37,77.07,75.82,74.81,73.25,72.00,70.32,69.41,68.99,68.95
30Yr,73.25,75.03,74.16,73.05,71.99,70.29,67.30,66.46,65.30,64.76,64.67,65.34
