expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,80.09,84.72,86.06,85.70,84.59,80.99,76.89,75.23,72.86,70.62,70.36,70.04
3Mo,84.22,84.93,84.29,82.26,80.15,78.22,75.83,74.96,73.86,71.73,70.74,70.01
6Mo,83.26,84.86,83.97,83.32,82.76,80.44,77.10,76.39,75.43,73.82,73.32,73.14
9Mo,83.66,85.48,84.08,83.24,82.26,80.12,77.48,76.82,75.90,74.49,73.99,73.81
1Yr,84.47,85.25,84.06,82.69,81.35,79.78,77.81,77.12,76.26,74.90,74.45,74.24
2Yr,83.35,83.41,82.71,81.85,80.79,79.67,78.46,77.89,77.11,76.24,75.51,75.17
3Yr,84.25,83.82,83.06,82.39,81.48,80.48,79.25,78.55,77.68,76.78,76.25,75.13
4Yr,84.63,83.95,83.35,82.54,81.77,80.66,79.25,78.55,77.72,76.92,76.25,75.13
5Yr,84.37,84.13,83.35,82.63,81.88,80.65,79.44,78.69,77.72,76.92,76.33,76.23
6Yr,84.42,83.97,83.15,82.54,82.05,80.70,79.44,78.61,77.55,75.99,75.47,75.09
7Yr,84.19,83.61,82.98,82.49,82.06,80.52,78.82,77.78,76.40,75.28,74.78,74.72
8Yr,83.98,83.48,82.69,82.01,81.39,79.78,78.14,77.04,75.59,74.51,73.89,73.85
9Yr,83.71,82.99,82.23,81.52,80.19,79.24,77.39,76.25,74.75,73.51,73.01,73.14
10Yr,82.31,82.77,81.88,81.01,80.19,78.51,76.66,75.51,73.97,72.94,72.41,72.14
12Yr,82.42,81.86,80.94,79.72,78.78,77.34,75.62,74.25,72.69,71.73,70.74,70.01
15Yr,80.98,80.40,80.04,78.72,77.72,76.05,73.99,72.69,71.09,69.79,69.25,68.82
20Yr,78.18,78.23,76.52,74.91,73.51,72.42,70.75,69.54,67.91,67.06,66.75,66.82
25Yr,76.18,76.52,74.91,73.34,71.64,70.24,68.43,67.46,66.15,65.49,65.08,65.14
30Yr,71.90,73.82,72.72,71.39,70.11,68.34,65.27,64.50,63.45,63.00,62.73,63.22
