expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,41.16,56.86,60.39,62.30,63.52,73.31,89.30,86.46,82.31,77.69,77.57,77.38
3Mo,51.56,76.59,82.46,86.95,91.36,90.50,89.72,89.71,89.91,90.13,90.28,90.69
6Mo,62.55,81.22,82.89,84.77,86.72,88.10,90.31,89.46,88.28,86.50,86.41,86.62
9Mo,70.52,82.67,83.82,85.48,86.95,87.87,89.83,89.02,87.87,86.27,86.32,86.67
1Yr,78.06,83.61,84.77,85.70,86.63,87.40,89.03,88.19,87.11,85.55,85.70,86.09
2Yr,88.23,89.11,89.34,89.40,89.40,88.76,88.44,87.70,86.64,85.46,85.65,86.23
3Yr,91.92,92.48,91.89,91.40,90.68,89.94,89.24,88.43,87.37,86.30,85.97,86.04
4Yr,93.05,92.56,92.29,91.82,91.38,90.45,89.65,88.65,87.54,86.62,86.09,86.03
5Yr,93.51,92.82,92.30,91.99,91.80,90.69,89.51,88.65,87.49,86.64,86.01,85.79
6Yr,93.53,92.82,92.30,91.99,91.80,90.69,89.51,88.59,87.38,86.47,85.70,85.43
7Yr,93.27,92.75,92.23,91.86,91.54,90.46,89.42,88.46,87.20,86.36,85.46,85.03
8Yr,92.72,92.29,91.87,91.56,91.31,90.06,88.84,87.77,86.35,85.42,84.57,84.30
9Yr,92.12,91.48,91.34,91.24,91.11,89.77,88.18,87.02,85.46,84.48,83.78,83.62
10Yr,91.39,90.93,90.91,90.91,90.96,89.33,87.54,86.30,84.64,83.48,82.99,82.86
12Yr,90.15,89.54,89.18,88.80,87.55,85.82,84.55,82.85,81.85,81.10,81.10,81.04
15Yr,88.21,88.00,87.41,85.63,86.03,84.83,83.19,81.87,80.10,78.94,78.38,78.31
20Yr,84.93,84.96,83.88,82.88,81.98,79.61,79.31,78.10,76.47,75.64,75.05,74.84
25Yr,82.59,82.74,81.68,80.49,79.14,78.15,76.44,75.37,73.91,73.10,72.76,72.90
30Yr,77.77,79.53,78.93,78.10,77.31,75.65,73.73,71.76,70.41,69.65,69.80,70.72
