expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,146.27,146.96,146.52,144.15,140.94,139.53,139.90,135.92,130.06,122.11,121.95,121.72
3Mo,141.78,136.07,132.29,127.04,121.80,119.79,117.31,116.31,115.21,112.31,110.94,109.84
6Mo,125.31,123.91,120.46,117.23,114.05,110.34,105.02,103.80,102.06,98.92,99.03,99.45
9Mo,119.90,116.96,112.91,109.41,105.71,102.75,99.00,97.84,96.13,93.32,93.56,94.11
1Yr,114.52,108.84,104.98,100.88,96.78,94.98,92.78,91.63,90.08,87.40,87.81,88.45
2Yr,93.26,91.22,90.04,88.70,87.17,85.32,82.99,82.70,82.32,81.85,81.19,80.91
3Yr,87.19,89.08,87.60,86.21,84.57,83.05,81.15,80.65,80.05,79.40,79.24,79.48
4Yr,85.24,86.89,85.63,84.15,82.71,81.41,79.91,79.45,78.91,78.63,78.15,78.15
5Yr,82.60,84.71,83.32,81.98,80.62,79.59,78.43,78.01,77.54,77.55,76.86,75.57
6Yr,82.03,83.87,82.43,81.41,80.41,79.15,77.74,77.14,76.14,76.02,75.35,75.18
7Yr,82.32,82.80,81.77,80.87,80.03,78.57,76.98,76.20,75.22,74.53,73.90,73.74
8Yr,81.89,82.59,81.32,80.49,79.07,77.33,75.33,74.46,73.34,72.59,71.91,71.80
9Yr,81.41,82.01,80.71,79.44,78.14,76.15,73.59,72.65,71.41,70.62,70.01,69.91
10Yr,80.80,81.70,80.19,78.69,77.26,74.85,71.88,70.86,69.53,68.63,68.10,67.93
12Yr,80.12,80.85,79.17,77.39,75.79,73.57,70.90,69.87,67.64,66.17,66.09,65.51
15Yr,75.25,75.10,75.31,73.55,73.57,71.83,69.39,68.61,66.90,66.17,66.09,65.51
20Yr,75.10,76.52,74.04,72.82,70.38,68.72,66.19,65.31,64.17,64.03,64.01,64.38
25Yr,71.44,74.13,72.21,70.45,67.95,67.18,64.75,64.04,63.13,62.87,62.27,62.16
30Yr,71.44,74.13,72.21,70.05,67.95,65.93,62.46,61.89,61.15,60.80,59.87,59.70
