expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,30.12,46.48,50.63,52.93,54.40,59.41,68.82,66.98,64.33,62.12,61.92,61.65
3Mo,44.73,66.05,71.12,74.65,78.26,76.85,75.61,75.40,75.29,75.00,74.93,75.12
6Mo,59.88,73.56,75.14,76.91,78.71,79.14,79.98,79.30,78.38,77.01,76.64,76.59
9Mo,67.31,77.12,78.03,79.44,80.65,80.62,81.21,80.56,79.65,78.42,78.12,78.14
1Yr,74.31,79.77,80.62,81.23,81.82,81.74,82.08,81.39,80.52,79.27,79.05,79.07
2Yr,84.58,85.47,85.41,85.18,84.76,84.42,83.61,82.91,81.91,80.79,80.63,80.84
3Yr,88.19,88.04,87.48,87.03,86.32,85.54,84.75,83.96,82.95,81.92,81.47,81.41
4Yr,89.31,88.45,88.15,87.63,87.14,86.17,85.16,84.32,83.21,82.28,81.71,81.63
5Yr,89.76,88.90,88.49,88.13,87.75,86.63,85.35,84.44,83.26,82.34,81.71,81.60
6Yr,89.81,89.01,88.43,88.06,87.81,86.60,85.27,84.31,83.04,82.03,81.38,81.21
7Yr,89.57,88.90,88.39,88.02,87.70,86.44,85.13,84.31,83.04,82.03,81.38,81.21
8Yr,89.18,88.59,88.08,87.67,87.33,86.01,84.61,83.51,82.05,81.03,80.28,80.11
9Yr,88.74,87.92,87.60,87.32,86.99,85.63,84.18,82.85,81.29,80.13,79.61,79.48
10Yr,88.17,87.52,87.22,86.94,86.71,85.63,83.44,82.85,81.29,79.48,78.94,78.76
12Yr,87.06,86.48,85.99,85.39,84.98,83.61,81.99,80.73,79.63,77.86,77.25,77.14
15Yr,85.29,84.81,85.06,83.39,82.36,81.25,79.74,78.42,76.63,75.03,74.83,74.72
20Yr,82.09,82.06,80.85,79.42,77.86,77.25,75.07,73.99,72.42,70.75,69.54,68.43
25Yr,79.91,80.01,78.83,77.52,76.05,75.07,72.75,71.99,70.90,69.79,69.25,66.82
30Yr,75.23,76.96,76.25,75.31,74.42,72.75,69.82,68.91,67.65,67.00,67.05,67.86
