expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,104.49,107.35,107.93,106.74,104.78,101.74,98.90,96.40,92.76,88.37,88.16,87.88
3Mo,105.17,102.72,100.61,97.09,93.48,91.51,89.07,88.12,86.90,84.48,83.31,82.40
6Mo,98.05,97.81,95.84,94.09,92.42,89.39,84.99,84.10,82.87,80.72,80.44,80.46
9Mo,96.01,95.56,93.07,91.13,89.02,86.39,83.03,82.20,81.04,79.13,78.86,78.91
1Yr,94.25,92.46,90.20,87.75,85.33,83.49,81.14,80.30,79.23,77.46,77.24,77.27
2Yr,85.61,84.97,84.04,82.94,81.65,80.24,78.61,78.14,77.50,76.78,75.98,75.55
3Yr,84.23,84.34,83.34,82.46,81.32,80.10,78.66,78.03,77.25,76.43,75.99,75.95
4Yr,83.90,83.81,82.99,81.97,80.98,79.79,78.46,77.79,76.95,76.30,75.74,75.66
5Yr,82.95,83.37,82.38,81.43,80.47,79.35,78.07,77.35,76.45,75.88,75.31,75.15
6Yr,82.99,83.00,82.01,81.23,80.58,79.21,77.65,76.80,75.70,74.83,74.30,74.27
7Yr,82.75,82.42,81.67,81.06,80.51,78.94,77.17,76.18,74.89,73.84,73.36,73.35
8Yr,82.52,82.30,81.35,80.50,79.72,78.09,76.24,75.19,73.81,72.80,72.19,72.17
9Yr,82.24,81.83,80.86,79.93,78.96,77.30,75.24,74.15,72.71,71.75,71.14,71.05
10Yr,81.83,81.62,80.47,79.34,78.25,76.39,74.27,73.15,71.68,70.70,70.10,69.86
12Yr,81.02,80.75,79.48,78.10,76.90,75.29,73.33,72.16,70.61,69.57,68.99,68.92
15Yr,79.73,79.35,77.91,76.20,74.85,73.59,71.86,70.61,68.94,67.89,67.46,67.53
20Yr,76.82,77.44,75.47,73.61,71.82,70.59,68.72,67.58,66.06,65.38,65.17,65.35
25Yr,75.25,75.88,73.99,71.97,69.81,68.64,66.67,65.77,64.57,64.03,63.57,63.58
30Yr,71.20,73.33,71.96,70.36,68.82,66.98,63.78,63.09,62.15,61.76,61.28,61.57
