expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,66.64,85.27,88.71,90.26,91.01,106.15,130.91,126.35,119.62,111.15,111.10,110.98
3Mo,76.13,105.63,112.10,117.23,122.43,121.76,131.31,121.48,121.95,122.61,122.95,123.57
6Mo,81.47,105.02,106.23,107.69,109.27,114.95,115.07,113.82,112.06,109.33,109.69,110.38
9Mo,88.37,102.18,102.92,104.24,105.43,107.45,111.10,109.91,108.20,105.71,106.36,107.33
1Yr,94.81,98.64,99.50,100.19,100.93,103.02,106.57,105.38,103.78,101.40,103.29,103.42
2Yr,99.32,99.67,100.34,100.84,101.15,100.68,100.46,99.66,98.53,97.28,98.14,99.38
3Yr,101.64,104.06,103.23,102.51,101.54,100.83,100.15,99.30,98.18,97.06,97.02,97.38
4Yr,102.32,103.01,102.69,102.16,101.67,100.76,99.86,99.03,97.95,97.13,96.67,96.70
5Yr,102.36,102.00,102.07,101.58,101.29,101.13,100.22,99.35,98.54,97.51,96.90,95.78
6Yr,102.32,102.07,101.58,101.29,101.13,100.22,99.35,98.54,97.49,96.88,95.86,95.35
7Yr,101.99,101.94,101.34,100.89,100.49,99.78,99.30,98.47,97.41,96.92,95.86,95.35
8Yr,101.04,101.15,100.83,100.63,100.48,99.42,98.41,97.42,96.12,95.39,94.34,93.87
9Yr,100.04,100.00,100.16,100.35,100.51,99.12,97.46,96.32,94.79,93.85,93.12,92.92
10Yr,98.90,99.12,99.58,100.05,100.59,98.70,96.52,95.25,93.53,92.29,91.91,91.90
12Yr,97.42,97.79,97.90,97.91,98.11,96.39,94.25,92.98,91.26,90.08,89.61,89.48
15Yr,95.12,95.70,95.31,94.66,94.37,92.86,90.77,89.50,87.80,86.78,86.37,86.45
20Yr,89.19,89.16,91.17,90.28,89.47,88.22,86.30,85.20,83.73,83.18,82.47,82.10
25Yr,89.15,89.63,88.64,87.53,86.27,85.16,83.27,82.20,80.74,79.95,79.61,79.76
30Yr,84.12,86.12,85.58,84.80,84.09,82.38,79.40,78.32,76.82,75.80,76.08,77.12
