expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,34.79,49.30,53.25,55.19,56.26,57.11,61.11,59.80,57.95,57.05,56.79,56.46
3Mo,50.10,65.25,69.13,71.50,73.77,72.33,70.72,70.33,69.96,69.21,68.94,68.93
6Mo,63.04,72.84,74.02,75.41,76.85,76.59,75.93,75.40,74.95,73.69,73.20,73.03
9Mo,68.94,76.71,77.21,78.24,79.07,78.46,78.18,77.58,76.63,75.62,75.19,75.06
1Yr,74.74,79.48,79.96,80.21,80.46,79.92,79.58,78.93,78.13,76.96,76.60,76.47
2Yr,83.47,84.26,84.03,83.64,83.06,82.32,81.68,81.00,80.04,79.66,78.63,78.67
3Yr,86.72,86.34,85.77,85.30,84.57,83.74,82.88,82.11,81.12,80.12,79.62,79.53
4Yr,87.76,86.82,86.46,85.90,85.37,84.37,83.31,82.48,81.39,80.47,79.89,79.79
5Yr,88.12,87.33,86.84,86.40,85.94,84.82,83.52,82.62,81.44,80.52,79.97,79.79
6Yr,88.18,87.39,86.77,86.35,86.06,84.80,83.52,82.62,81.44,80.52,79.97,79.39
7Yr,87.94,87.25,86.72,86.33,86.06,84.80,83.40,82.44,81.16,80.12,79.51,79.39
8Yr,87.62,87.00,86.42,85.96,85.56,84.18,83.23,82.19,80.82,79.76,79.11,78.11
9Yr,87.25,86.39,85.96,85.58,85.56,84.18,82.71,81.60,80.13,79.08,78.37,78.24
10Yr,86.74,86.05,85.60,85.17,84.80,83.06,82.11,80.95,79.40,78.37,77.72,77.27
12Yr,85.69,85.05,84.43,83.71,83.17,81.81,81.54,80.34,78.73,77.64,77.08,76.86
15Yr,85.01,83.44,82.59,81.46,80.70,79.18,78.14,76.82,75.63,74.99,74.83,74.72
20Yr,80.85,80.83,79.83,78.33,77.19,76.19,78.10,76.64,75.27,74.11,73.85,73.72
25Yr,78.76,78.28,78.37,77.60,76.21,74.81,73.40,71.99,71.71,70.79,70.33,70.24
30Yr,74.17,75.91,75.13,74.11,73.14,71.46,68.50,67.63,66.42,65.83,65.81,66.56
