expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,142.00,189.29,186.48,183.69,178.20,173.16,164.51,161.67,158.21,149.22,148.40,147.13
3Mo,171.68,159.84,157.37,154.10,150.24,145.98,139.09,136.51,132.40,125.37,120.72,116.99
6Mo,169.37,148.04,140.46,141.43,138.21,133.74,127.80,125.43,122.13,116.39,113.37,111.45
9Mo,156.66,140.76,137.04,133.11,129.27,124.34,118.62,116.64,113.87,109.12,107.15,106.19
1Yr,142.59,132.23,128.26,124.31,120.45,115.22,109.73,108.04,105.79,101.93,101.01,101.13
2Yr,117.85,113.66,111.71,109.73,107.29,103.01,98.24,96.92,95.01,92.22,91.08,90.82
3Yr,106.08,106.28,104.60,102.52,100.47,97.76,94.52,93.24,91.17,88.39,87.08,86.61
4Yr,100.58,100.83,99.07,97.29,95.48,93.69,91.82,90.46,88.49,86.07,84.72,84.31
5Yr,96.96,96.21,94.49,92.63,91.32,90.22,89.43,88.05,86.05,83.72,82.51,81.96
6Yr,94.21,93.33,91.80,90.54,89.28,88.15,87.35,86.01,84.08,81.78,80.48,80.03
7Yr,92.30,91.17,89.78,88.60,87.54,86.36,85.12,83.87,81.87,79.74,78.62,77.99
8Yr,89.91,89.47,88.08,86.97,85.81,84.13,82.18,80.91,78.88,76.86,75.57,75.17
9Yr,87.73,87.90,86.94,85.83,85.23,84.13,81.97,79.27,78.03,76.08,74.24,73.28
10Yr,82.85,83.74,82.10,80.60,79.02,76.63,73.28,72.05,73.16,71.55,70.60,70.47
12Yr,78.63,79.70,77.81,75.99,74.03,71.77,68.74,67.58,65.84,64.20,63.63,63.79
15Yr,73.37,73.59,71.65,69.63,67.62,65.68,62.93,62.17,61.06,60.41,60.64,61.19
20Yr,71.44,71.60,69.76,67.69,65.64,63.51,60.61,59.84,59.15,58.47,58.39,59.08
25Yr,71.44,71.60,69.76,67.69,65.64,63.51,60.61,59.84,59.15,58.47,58.39,59.08
30Yr,68.37,70.13,67.98,66.13,64.34,61.64,57.57,56.94,55.98,55.03,55.49,55.07
