term,bid,ask
1WK,4.31361,4.32199
1MO,4.31799,4.32528
2MO,4.31799,4.32528
3MO,4.32149,4.32851
4MO,4.31598,4.32343
5MO,4.30552,4.31464
6MO,4.27451,4.28454
7MO,4.25120,4.26010
8MO,4.23162,4.24058
9MO,4.20576,4.21424
10MO,4.17815,4.18536
11MO,4.15246,4.15864
12MO,4.12790,4.13730
13MO,4.10401,4.11230
18MO,4.08693,4.09207
2YR,3.87248,3.88072
3YR,3.80386,3.80872
4YR,3.79680,3.80390
5YR,3.78770,3.79373
6YR,3.80047,3.80373
7YR,3.81856,3.82011
8YR,3.83325,3.83665
9YR,3.85039,3.85351
10YR,3.86886,3.87284
12YR,3.90819,3.91201
15YR,3.95313,3.95827
20YR,3.97057,3.97543
25YR,3.92127,3.92613
30YR,3.84713,3.85308
40YR,3.84747,3.85453
