expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,82.74,111.89,114.24,116.68,116.64,113.67,108.14,105.69,102.71,95.88,94.67,93.02
3Mo,95.93,105.73,107.56,108.66,109.19,106.42,101.77,99.97,97.02,92.03,89.91,88.71
6Mo,104.88,109.24,108.57,108.45,108.14,106.02,100.04,98.24,95.78,91.62,89.69,88.86
9Mo,108.68,110.23,109.17,107.90,106.71,103.02,99.13,97.45,95.13,91.32,89.55,88.78
1Yr,111.79,109.90,108.33,106.78,105.31,101.56,98.31,96.66,94.47,91.32,89.55,88.78
2Yr,109.96,107.34,105.73,104.07,101.96,98.97,96.17,94.63,92.39,89.30,87.97,87.52
3Yr,106.21,103.52,102.29,100.65,99.04,96.71,94.06,92.73,90.57,87.87,86.66,86.30
4Yr,102.22,100.35,99.02,97.67,96.28,94.28,91.18,89.95,88.04,85.63,84.42,84.17
5Yr,100.13,98.04,96.73,95.28,94.38,92.70,91.04,89.57,87.42,85.03,83.64,82.65
6Yr,97.54,95.59,94.44,93.58,92.72,91.07,89.50,87.81,85.98,83.64,82.54,82.30
7Yr,95.80,93.85,92.84,92.04,91.35,89.73,87.81,86.45,84.30,82.15,81.25,80.73
8Yr,93.86,92.20,91.19,90.46,89.57,87.99,86.04,84.66,82.15,80.08,79.65,79.37
9Yr,92.14,90.69,89.63,88.83,87.97,86.30,84.32,82.97,80.84,79.02,78.07,77.84
10Yr,90.62,89.35,88.21,87.25,86.38,84.65,82.63,81.17,79.11,77.47,76.52,76.43
12Yr,87.86,86.26,85.11,84.09,83.01,81.36,79.28,77.41,75.05,73.16,72.63,72.14
15Yr,82.87,81.70,80.52,79.36,78.06,76.43,74.38,73.21,71.47,69.99,69.31,69.31
20Yr,75.94,74.41,73.41,72.36,71.22,69.80,67.81,66.89,65.55,64.66,64.48,64.62
25Yr,75.61,74.31,73.51,72.50,71.49,69.36,66.63,65.24,64.09,63.56,63.20,63.55
30Yr,70.25,71.13,69.80,68.77,67.81,65.47,61.94,61.52,60.88,60.67,61.06,61.56
