expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,75.74,101.04,104.77,108.57,109.81,107.34,102.55,100.52,98.22,92.67,91.56,90.00
3Mo,84.79,99.46,102.57,104.93,106.70,104.12,99.77,98.16,95.51,91.03,89.19,88.27
6Mo,96.61,105.67,105.70,106.28,106.66,103.49,99.46,97.72,95.36,91.39,89.61,88.93
9Mo,103.24,107.69,107.21,106.53,105.93,102.52,99.05,97.41,95.15,91.45,89.78,89.11
1Yr,108.80,108.28,107.18,106.11,105.13,101.59,98.64,97.00,94.83,91.32,89.79,89.30
2Yr,110.07,107.60,106.11,104.57,102.59,99.64,96.91,95.39,93.18,90.19,88.91,88.52
3Yr,107.04,104.41,103.19,101.56,99.96,97.68,95.10,93.76,91.60,88.91,87.70,87.33
4Yr,103.21,101.38,100.07,98.74,97.37,95.49,93.50,92.06,89.96,87.57,86.37,86.10
5Yr,101.27,99.19,97.92,96.51,95.64,93.92,92.21,90.73,88.58,86.21,85.18,84.82
6Yr,98.70,96.78,95.66,94.84,94.00,92.35,90.77,89.32,87.23,84.90,83.80,83.56
7Yr,96.99,95.08,94.09,93.32,92.65,91.06,89.18,87.82,85.65,83.50,82.59,82.17
8Yr,95.09,93.40,92.42,91.74,90.99,89.34,87.44,86.05,83.85,81.87,81.03,80.75
9Yr,93.40,91.85,90.78,90.04,89.37,87.71,85.75,84.39,82.26,80.35,79.43,79.15
10Yr,91.92,90.48,89.42,88.54,87.75,86.06,83.93,82.62,80.55,78.84,77.85,77.67
12Yr,88.55,87.35,86.28,85.34,84.32,82.80,80.73,79.45,77.43,75.79,75.11,74.87
15Yr,83.63,82.77,81.62,80.55,79.33,77.78,75.83,74.64,72.87,71.35,70.66,70.70
20Yr,76.89,75.26,74.34,73.34,72.35,71.01,69.15,68.21,66.84,65.91,65.65,65.71
25Yr,74.57,73.31,72.44,71.35,70.26,68.64,66.51,65.77,65.13,64.63,64.42,64.66
30Yr,71.09,71.91,70.68,69.73,68.86,66.58,63.13,62.74,62.16,62.04,62.32,62.70
