expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,108.58,146.56,146.07,145.63,142.68,138.63,131.49,128.64,125.08,116.72,115.64,114.15
3Mo,130.33,128.76,128.05,126.57,124.46,121.02,115.38,113.16,109.58,103.50,100.24,97.88
6Mo,133.16,124.63,122.34,120.59,118.63,114.48,108.97,106.93,104.11,99.27,96.84,95.50
9Mo,128.84,121.88,119.38,116.66,114.01,109.65,104.73,102.93,100.43,96.22,94.29,93.36
1Yr,123.93,118.00,115.17,112.36,109.63,105.20,100.92,99.25,97.04,93.33,91.89,91.48
2Yr,111.83,108.59,106.73,104.82,102.46,99.06,95.66,94.15,91.94,88.82,87.47,87.00
3Yr,105.01,102.99,101.63,99.86,98.12,95.63,92.73,91.41,89.28,86.54,85.32,84.94
4Yr,100.43,99.04,97.57,96.07,94.54,92.68,90.71,89.29,87.23,84.80,83.57,83.29
5Yr,97.76,95.97,94.51,92.91,91.85,90.36,89.01,87.56,85.44,83.05,81.98,81.59
6Yr,95.09,93.36,92.08,91.08,90.08,88.55,87.18,85.77,83.73,81.40,80.26,79.98
7Yr,93.28,91.47,90.33,89.40,88.59,87.02,85.20,83.88,81.78,79.65,78.70,78.25
8Yr,91.17,89.85,88.68,87.80,86.87,85.12,83.10,81.75,79.62,77.67,76.79,76.48
9Yr,89.29,88.37,87.06,86.08,85.17,83.31,81.06,79.74,77.68,75.81,74.74,74.32
10Yr,87.62,87.06,85.71,84.56,83.49,81.48,79.76,77.60,75.64,73.97,72.94,72.72
12Yr,84.51,84.12,82.73,81.47,80.14,78.29,75.76,74.53,72.08,70.19,69.29,70.02
15Yr,79.99,79.83,78.30,76.60,75.27,73.39,70.95,69.81,68.12,66.67,65.97,66.00
20Yr,73.99,73.04,71.66,70.20,68.76,67.08,64.71,63.86,62.62,61.86,61.89,62.25
25Yr,71.88,71.15,69.83,68.30,66.77,64.88,62.33,61.56,60.89,60.26,60.35,60.91
30Yr,68.63,69.82,68.15,66.79,65.50,62.99,59.21,58.69,57.89,57.35,57.95,58.66
