expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,91.06,123.48,124.68,125.98,124.82,121.43,112.60,109.26,101.65,100.45,98.82,98.82
3Mo,107.58,113.03,113.82,113.86,113.32,110.33,105.35,103.38,100.18,94.76,92.27,90.71
6Mo,114.11,113.81,112.95,111.77,110.82,107.02,102.03,100.15,97.58,93.20,91.10,90.10
9Mo,115.01,113.59,111.99,110.17,108.44,104.49,100.20,98.49,96.11,92.17,90.32,89.48
1Yr,115.43,112.15,110.12,108.11,106.19,102.21,98.62,96.96,94.76,91.15,89.56,89.01
2Yr,110.25,107.44,105.72,103.96,101.74,98.65,96.72,94.17,91.92,88.78,87.43,86.95
3Yr,105.59,103.00,101.74,100.07,98.43,96.05,93.32,91.99,89.84,87.12,85.92,85.56
4Yr,101.42,99.62,98.25,96.86,95.63,93.56,91.46,90.13,88.04,85.63,84.42,84.17
5Yr,99.16,97.12,95.76,94.27,93.32,91.69,90.12,88.65,86.51,84.11,83.08,82.72
6Yr,96.55,94.62,93.44,92.54,91.64,90.01,88.48,87.04,84.97,82.63,81.53,81.29
7Yr,94.78,92.84,91.79,90.96,90.24,88.61,86.68,85.33,83.19,81.05,80.15,79.73
8Yr,92.79,91.21,90.15,89.37,88.54,86.83,84.84,83.47,81.29,79.33,78.47,78.19
9Yr,91.03,89.72,88.53,87.66,86.87,85.13,83.05,81.71,79.60,77.72,76.77,76.47
10Yr,89.47,88.40,87.18,86.15,85.21,83.42,81.14,79.85,77.81,76.12,75.09,74.88
12Yr,86.23,85.36,84.12,83.03,81.85,80.20,77.96,76.71,74.72,73.11,72.40,72.14
15Yr,81.52,80.93,79.60,78.34,76.95,75.25,73.08,71.92,70.21,68.75,68.04,68.06
20Yr,75.14,73.77,72.64,71.43,70.24,68.73,66.52,65.72,64.41,63.57,63.46,63.67
25Yr,72.92,71.87,70.79,69.50,68.21,66.46,64.12,63.36,62.71,62.14,62.11,62.54
30Yr,69.56,70.52,69.09,67.95,66.89,64.50,60.89,60.43,59.74,59.42,59.91,60.50
