expiry,1Y,2Y,3Y,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y
1Mo,71.78,88.32,94.53,100.66,104.04,102.67,99.51,98.90,98.76,96.70,96.13,95.13
3Mo,72.30,93.21,98.96,103.64,108.02,105.67,101.64,100.43,98.39,94.88,93.21,92.42
6Mo,87.89,102.94,104.35,106.28,107.98,105.64,102.88,101.22,98.96,95.19,93.59,93.08
9Mo,97.34,105.87,106.55,107.01,107.54,104.69,102.07,100.47,98.28,94.72,93.30,92.88
1Yr,105.64,107.33,107.17,107.03,106.96,103.75,101.28,99.66,97.52,94.11,92.87,92.66
2Yr,111.49,109.23,108.02,106.77,105.08,102.07,99.23,97.80,95.72,93.01,91.91,91.68
3Yr,109.38,107.25,105.99,104.33,102.69,100.49,98.03,96.68,94.51,91.85,90.60,90.19
4Yr,105.76,104.28,103.02,101.66,100.30,98.43,96.68,95.02,92.92,90.57,89.33,89.03
5Yr,104.04,102.15,100.93,99.56,98.74,96.98,95.21,93.73,91.59,89.26,88.21,87.82
6Yr,101.53,99.78,98.70,97.90,97.10,95.49,93.98,92.52,90.43,88.11,86.97,86.69
7Yr,99.86,98.11,97.15,96.40,95.76,94.28,92.60,91.22,89.02,86.86,85.91,85.45
8Yr,98.00,96.35,95.44,94.82,94.15,92.58,90.81,89.40,87.18,85.19,84.33,84.04
9Yr,96.35,94.72,93.76,93.13,92.57,90.95,89.06,87.69,85.53,83.62,82.72,82.46
10Yr,94.91,93.26,92.35,91.63,91.00,89.31,87.18,85.86,83.77,82.05,81.12,81.00
12Yr,91.40,90.03,89.12,88.33,87.47,85.99,83.99,82.69,80.62,78.92,78.30,78.12
15Yr,86.26,85.31,84.31,83.39,82.33,80.89,79.10,77.86,76.01,74.37,73.73,73.43
20Yr,79.21,77.48,76.71,75.85,75.00,73.83,72.22,71.46,69.82,68.80,68.39,68.31
25Yr,76.79,75.47,74.74,73.79,72.84,71.34,69.40,68.68,68.07,67.61,67.18,67.21
30Yr,73.22,74.00,72.90,72.10,71.36,69.17,65.86,65.54,65.06,65.13,65.11,65.21
